name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
adv:exponential_graded@10,10,0.1,0.3,0.3,0.0,1.712e-05,7.378e-06,2.3204120357820543,30,30,PASS,
adv:glued_repeated@10,10,0.2,1.9,2.0,0.0,1.505e-05,8.479e-06,1.7749734638518695,30,30,PASS,
adv:saw_tooth@10,10,0.1,0.3,0.4,0.0,2.969e-05,1.055e-05,2.814218009478673,30,30,PASS,
adv:stemr_killer@10,10,0.1,0.1,0.2,1.0,1.059e-05,4.233e-06,2.501771793054571,30,30,PASS,
adv:huge_condition@10,10,0.1,0.3,0.4,0.0,1.139e-05,4.433e-06,2.5693661177532143,30,30,PASS,
adv:spike@10,10,0.0,0.8,0.6,0.0,1.644e-05,9.186e-06,1.7896799477465708,30,30,PASS,
adv:wilkinson_like@10,10,0.2,14.0,14.0,0.0,1.84e-05,8.799e-06,2.0911467212183203,30,30,FAIL,
adv:two_clusters@10,10,0.1,17.5,17.4,1.66e-16,1.78e-05,6.889e-06,2.583829293075918,30,30,FAIL,
adv:random_uniform@10,10,0.2,1.3,1.2,0.0,1.867e-05,9.945e-06,1.8773252890899947,30,30,PASS,
adv:diagonal_only@10,10,0.0,0.2,0.2,0.0,4.738e-06,6.89e-07,6.8766328011611035,30,30,PASS,
adv:constant@10,10,0.0,0.2,0.2,0.0,5.754e-06,7.37e-07,7.807327001356852,30,30,PASS,
adv:all_equal_nontrivial@10,10,0.5,1.8,1.6,0.0,1.602e-05,7.57e-06,2.116248348745046,30,30,PASS,
adv:one_big_cluster@10,10,0.5,0.9,0.8,0.0,2.745e-05,7.447e-06,3.68604807304955,30,30,PASS,
adv:arithmetic_progression@10,10,0.2,0.6,0.6,0.0,1.193e-05,6.508e-06,1.8331284572833435,30,30,PASS,
adv:many_near_zero@10,10,0.2,0.2,0.3,0.0938,8.887e-06,4.952e-06,1.794628432956381,30,30,PASS,
adv:random_dense_clusters@10,10,0.3,0.7,0.4,0.0,1.557e-05,6.114e-06,2.546614327772325,30,30,PASS,
adv:constant_d_graded_e@10,10,0.6,0.7,0.8,0.0,4.497e-05,1.146e-05,3.9240837696335076,30,30,PASS,
adv:random_clustered_5@10,10,0.1,0.3,0.3,0.0,3.367e-05,4.248e-06,7.9260828625235416,30,30,PASS,
adv:alternating_sign@10,10,0.3,1.9,1.9,0.0,1.498e-05,7.383e-06,2.028985507246377,30,30,PASS,
adv:step_function@10,10,0.2,2.1,2.2,0.0,1.373e-05,5.153e-06,2.6644673006015918,30,30,PASS,
adv:three_clusters@10,10,0.1,11.8,11.9,0.0,2.237e-05,5.543e-06,4.035720728847195,30,30,FAIL,
adv:random_sparse_e@10,10,0.1,0.2,0.3,1.88e-16,6.714e-06,3.975e-06,1.6890566037735848,30,30,PASS,
adv:chkbd@10,10,0.1,0.2,0.1,1.0,1.126e-05,4.039e-06,2.78781876702154,30,30,PASS,
adv:marques_graded@10,10,0.1,0.3,0.3,0.0,1.316e-05,4.715e-06,2.7910922587486744,30,30,PASS,
adv:gl_abcon0@10,10,0.2,1.9,2.0,0.0,1.702e-05,7.623e-06,2.2327167781713237,30,30,PASS,
adv:gl_abcon1@10,10,0.4,1.7,1.8,0.0,1.485e-05,7.172e-06,2.0705521472392636,30,30,PASS,
adv:gl_abcon2@10,10,0.3,0.9,0.9,0.0,1.328e-05,6.529e-06,2.034002144279369,30,30,PASS,
adv:gl_abcon3@10,10,0.1,1.2,1.2,0.0,1.557e-05,7.521e-06,2.070203430394894,30,30,PASS,
adv:gl_random@10,10,0.6,1.8,1.7,0.0,1.389e-05,7.147e-06,1.943472785784245,30,30,PASS,
adv:gl_gradp@10,10,0.1,0.3,0.5,0.0,1.234e-05,5.637e-06,2.189107681390811,30,30,PASS,
adv:gl_gradm@10,10,0.1,0.6,0.4,0.0,1.309e-05,5.073e-06,2.5803272225507587,30,30,PASS,
adv:gl_wilkp@10,10,0.2,0.4,0.4,1.73e-16,1.264e-05,4.511e-06,2.8020394590999778,30,30,PASS,
adv:gl_wilkm@10,10,0.1,1.2,1.1,1.57e-16,1.004e-05,5.121e-06,1.9605545791837533,30,30,PASS,
adv:gl_wilkw@10,10,0.5,6.5,7.0,0.0,1.519e-05,8.039e-06,1.8895384998134095,30,30,FAIL,
adv:gl_wilk2w@10,10,0.2,1.1,1.2,0.0,1.311e-05,7.723e-06,1.697526867797488,30,30,PASS,
adv:gl_clement@10,10,0.0,0.2,0.2,1.48e-16,5.133e-06,2.586e-06,1.9849187935034802,30,30,PASS,
adv:gl_gro0@10,10,0.2,0.9,0.8,0.0,1.514e-05,8.123e-06,1.8638434076080266,30,30,PASS,
adv:gl_gro1@10,10,0.2,0.6,0.9,0.0,1.205e-05,6.28e-06,1.9187898089171975,30,30,PASS,
adv:gl_gro2@10,10,0.2,0.6,0.6,1.0,1.313e-05,5.295e-06,2.4796978281397544,30,30,PASS,
adv:gl_gro3@10,10,0.1,0.2,0.3,1.0,1.074e-05,3.592e-06,2.989977728285078,30,30,PASS,
adv:gl_bwilkp@10,10,0.2,1.2,1.2,3.14e-16,1.268e-05,5.335e-06,2.3767572633552017,30,30,PASS,
adv:gl_ones@10,10,0.0,0.2,0.2,0.0,5.243e-06,8.17e-07,6.417380660954712,30,30,PASS,
adv:gl_uniform_eps@10,10,0.0,0.2,0.2,0.0,4.703e-06,8.03e-07,5.85678704856787,30,30,PASS,
adv:gl_uniform_sqrteps@10,10,0.0,0.2,0.2,0.0,4.057e-06,5.98e-07,6.7842809364548495,30,30,PASS,
adv:gl_uniform_eps_to_1@10,10,0.0,0.2,0.2,0.0,5.083e-06,7.29e-07,6.972565157750343,30,30,PASS,
adv:gl_geometric_eps_to_1@10,10,0.1,0.2,0.2,1.0,5.317e-06,6.82e-07,7.796187683284458,30,30,PASS,
adv:gl_random_spectrum@10,10,0.2,1.0,0.9,0.0,1.76e-05,8.466e-06,2.0789038506969053,30,30,PASS,
adv:gl_clustered_at_1@10,10,0.0,0.2,0.2,0.0,6.13e-06,6.89e-07,8.896952104499274,30,30,PASS,
adv:gl_clustered_at_pm1@10,10,0.0,0.2,0.2,0.0,4.64e-06,6.2e-07,7.483870967741935,30,30,PASS,
adv:gl_clustered_at_eps@10,10,0.0,0.2,0.2,0.0,4.408e-06,8.55e-07,5.155555555555556,30,30,PASS,
adv:gl_clustered_at_pmeps@10,10,0.0,0.2,0.2,0.0,5.093e-06,8.64e-07,5.8946759259259265,30,30,PASS,
adv:demmel_S1pe@10,10,0.1,0.2,0.2,1.0,6.359e-06,6.755e-06,0.9413767579570688,30,30,PASS,
adv:demmel_S1ps@10,10,0.1,4.6,4.8,0.0,1.608e-05,6.366e-06,2.5259189443920826,30,30,PASS,
adv:demmel_S2pe@10,10,0.1,0.9,1.0,1.0,8.281e-06,5.997e-06,1.3808570952142738,30,30,PASS,
adv:demmel_S2ps@10,10,0.2,2.7,2.6,0.0,1.359e-05,7.194e-06,1.8890742285237698,30,30,PASS,
adv:demmel_W1@10,10,0.1,0.2,0.2,1.0,5.682e-06,5.699e-06,0.9970170205299175,30,30,PASS,
adv:demmel_W2@10,10,0.1,0.3,0.3,0.0,1.227e-05,6e-06,2.045,30,30,PASS,
adv:demmel_W3@10,10,0.1,0.3,0.4,0.0,1.111e-05,6.081e-06,1.827002137806282,30,30,PASS,
adv:demmel_G1@10,10,0.1,0.2,0.2,1.0,1.126e-05,4.878e-06,2.3083230832308326,30,30,PASS,
adv:demmel_G1s@10,10,0.2,0.3,0.2,0.0,1.032e-05,4.103e-06,2.5152327565196195,30,30,PASS,
adv:demmel_U1@10,10,0.1,0.6,0.5,1.0,1.359e-05,5.768e-06,2.356102635228849,30,30,PASS,
adv:demmel_U1s@10,10,0.1,0.3,0.3,0.0,1.169e-05,6.218e-06,1.8800257317465423,30,30,PASS,
adv:wilkinson_exact@10,10,0.2,0.5,0.6,4.17e-16,1.069e-05,5.029e-06,2.125671107576059,30,30,PASS,
adv:glued_wilkinson@10,10,0.4,0.5,0.7,0.0,1.495e-05,8.374e-06,1.7852877955576785,30,30,PASS,
adv:glued_wilkinson_tight@10,10,0.2,0.3,0.3,4.32e-16,9.543e-06,5.217e-06,1.8292121909143184,30,30,PASS,
adv:wl_example48@10,10,0.3,0.2,0.3,0.0,1.392e-05,9.422e-06,1.477393334748461,30,30,PASS,
adv:pd_T0@10,10,0.2,3.2,3.2,0.0,1.66e-05,8.493e-06,1.9545508065465678,30,30,PASS,
adv:pd_T1@10,10,0.2,0.4,0.5,0.0,1.689e-05,6.504e-06,2.596863468634686,30,30,PASS,
adv:zero_diagonal@10,10,0.0,0.2,0.2,0.0,4.558e-06,2.76e-06,1.6514492753623191,30,30,PASS,
adv:near_overflow@10,10,0.2,0.7,0.8,0.0,1.322e-05,6.972e-06,1.8961560527825587,30,30,PASS,
adv:near_underflow@10,10,0.3,1.1,1.0,0.0,1.208e-05,6.182e-06,1.954060174700744,30,30,PASS,
adv:mixed_signs@10,10,0.3,0.7,0.6,0.0,1.656e-05,7.502e-06,2.207411356971474,30,30,PASS,
adv:checkerboard@10,10,0.1,0.3,0.3,1.0,5.507e-06,4.878e-06,1.1289462894628948,30,30,PASS,
adv:exponential_graded_k4@10,10,0.2,0.2,0.4,0.0,1.196e-05,5.419e-06,2.2070492710832257,30,30,PASS,
adv:exponential_graded_k8@10,10,0.0,0.2,0.3,0.0,1.306e-05,5.029e-06,2.59693776098628,30,30,PASS,
adv:exponential_graded_k12@10,10,0.1,0.3,0.2,0.0,1.11e-05,5.091e-06,2.180318208603418,30,30,PASS,
adv:stemr_killer_k5@10,10,0.0,0.5,0.2,0.0,1.105e-05,5.448e-06,2.028267254038179,30,30,PASS,
adv:stemr_killer_k10@10,10,0.1,0.3,0.2,0.0,1.163e-05,5.87e-06,1.981260647359455,30,30,PASS,
adv:huge_condition_k5@10,10,0.1,0.3,0.4,0.0,1.185e-05,5.178e-06,2.2885283893395134,30,30,PASS,
adv:huge_condition_k10@10,10,0.1,0.2,0.3,0.0,1.279e-05,5.12e-06,2.498046875,30,30,PASS,
adv:demmel_G1_k4@10,10,0.0,0.3,0.2,0.0,1.274e-05,6.28e-06,2.0286624203821657,30,30,PASS,
adv:demmel_G1_k8@10,10,0.1,0.2,0.2,0.0,1.355e-05,6.964e-06,1.9457208500861576,30,30,PASS,
adv:demmel_G1_k12@10,10,0.1,0.2,0.2,0.0,1.121e-05,4.202e-06,2.6677772489290814,30,30,PASS,
adv:demmel_S1pe_k4@10,10,0.1,4.2,4.2,0.0,1.412e-05,6.636e-06,2.1277878239903556,30,30,PASS,
adv:demmel_S1pe_k8@10,10,0.1,4.2,4.1,0.0,1.303e-05,7.302e-06,1.7844426184606959,30,30,PASS,
adv:chkbd_4@10,4,0.2,0.5,0.5,0.0,5.582e-06,2.803e-06,1.9914377452729217,30,30,PASS,
adv:chkbd_16@10,16,0.0,0.1,0.1,1.0,1.275e-05,5.561e-06,2.2927531019600793,30,30,PASS,
adv:marques_graded_k4@10,10,0.1,0.3,0.3,0.0,1.437e-05,5.045e-06,2.848364717542121,30,30,PASS,
adv:marques_graded_k8@10,10,0.1,0.3,0.2,0.0,1.631e-05,5.531e-06,2.9488338455975414,30,30,PASS,
adv:exponential_graded@100,100,0.0,0.1,0.1,1.0,0.0004769,8.192e-05,5.821533203125,30,30,PASS,
adv:glued_repeated@100,100,0.0,0.1,0.2,0.0,0.002105,5.367e-05,39.22116638718092,30,30,PASS,
adv:saw_tooth@100,100,0.0,0.4,0.4,0.0,0.00137,0.0002132,6.425891181988742,30,30,FAIL,INFO=99
adv:stemr_killer@100,100,0.0,0.1,0.1,1.0,0.0003442,6.979e-05,4.931938673162345,30,30,PASS,
adv:huge_condition@100,100,0.0,0.1,0.1,0.0,0.0004719,8.667e-05,5.444790584977501,30,30,PASS,
adv:spike@100,100,4.4,257601.6,263488.4,0.0,0.001153,0.0003384,3.407210401891253,30,30,FAIL,
adv:wilkinson_like@100,100,0.1,0.9,0.8,0.0,0.002874,0.000229,12.550218340611352,30,30,PASS,
adv:two_clusters@100,100,0.0,4.7,4.7,1.67e-16,0.0007273,0.0001247,5.832397754611066,30,30,PASS,
adv:random_uniform@100,100,0.1,0.6,0.6,0.0,0.0009737,0.0004124,2.3610572259941804,30,30,PASS,
adv:diagonal_only@100,100,0.0,0.0,0.0,0.0,9.965e-05,1.478e-06,67.42219215155615,30,30,PASS,
adv:constant@100,100,0.0,0.0,0.0,0.0,8.704e-05,1.387e-06,62.75414563806777,30,30,PASS,
adv:all_equal_nontrivial@100,100,0.2,9.4,9.4,0.0,0.000685,0.0002012,3.4045725646123257,30,30,FAIL,
adv:one_big_cluster@100,100,0.4,0.6,0.6,0.0,0.002497,0.000324,7.70679012345679,30,30,PASS,
adv:arithmetic_progression@100,100,0.2,2.6,2.7,0.0,0.0005898,0.0001839,3.207177814029364,30,30,PASS,
adv:many_near_zero@100,100,0.0,0.0,0.0,0.111,0.0001112,0.0001938,0.5737874097007224,30,30,PASS,
adv:random_dense_clusters@100,100,0.0,10.0,10.0,0.0,0.00094,0.0001407,6.680881307746979,30,30,FAIL,
adv:constant_d_graded_e@100,100,0.2,2.9,2.9,0.0,0.00229,0.0005775,3.965367965367965,30,30,PASS,
adv:random_clustered_5@100,100,0.2,2.3,2.3,0.0,0.001966,8.494e-05,23.14574994113492,30,30,PASS,
adv:alternating_sign@100,100,0.1,4.4,4.3,0.0,0.000745,0.0002085,3.5731414868105515,30,30,PASS,
adv:step_function@100,100,0.1,9.4,9.4,0.0,0.0006249,0.0001434,4.357740585774058,30,30,FAIL,
adv:three_clusters@100,100,0.0,2.7,2.7,0.0,0.001246,9.702e-05,12.842712842712842,30,30,PASS,
adv:random_sparse_e@100,100,0.0,0.0,0.0,3.83e-16,0.0001014,9.021e-06,11.240438975723311,30,30,PASS,
adv:chkbd@100,100,0.0,0.0,0.0,1.0,0.0001074,1.827e-05,5.878489326765188,30,30,PASS,
adv:marques_graded@100,100,0.0,0.4,0.5,0.0,0.0005207,0.0001286,4.048989113530326,30,30,PASS,
adv:gl_abcon0@100,100,0.2,7.0,7.0,0.0,0.0006835,0.0001965,3.4783715012722642,30,30,FAIL,
adv:gl_abcon1@100,100,0.2,3.8,3.8,0.0,0.00068,0.000194,3.505154639175258,30,30,PASS,
adv:gl_abcon2@100,100,0.1,4.4,4.4,0.0,0.0005353,0.0001599,3.3477173233270787,30,30,PASS,
adv:gl_abcon3@100,100,0.0,7.4,7.3,0.0,0.001203,0.0003904,3.081454918032787,30,30,FAIL,
adv:gl_random@100,100,0.1,0.4,0.4,0.0,0.0009091,0.000349,2.6048710601719196,30,30,PASS,
adv:gl_gradp@100,100,0.0,0.0,0.0,1.0,0.0002074,5.203e-05,3.9861618297136268,30,30,PASS,
