name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
adv:exponential_graded@10,10,0.1,0.2,0.4,4.27e-16,1.805e-05,7.906e-06,2.2830761447002277,30,30,PASS,
adv:glued_repeated@10,10,0.7,0.8,0.9,6.46e-16,3.442e-05,7.768e-06,4.430998970133882,30,30,PASS,
adv:saw_tooth@10,10,0.3,0.3,0.7,5.52e-16,2.783e-05,8.951e-06,3.1091498156630544,30,30,PASS,
adv:stemr_killer@10,10,0.1,0.4,0.3,4.73e-16,1.295e-05,3.864e-06,3.351449275362319,30,30,PASS,
adv:huge_condition@10,10,2.6,0.3,0.3,2.34e-16,1.272e-05,4.621e-06,2.752650941354685,30,30,PASS,
adv:spike@10,10,0.2,0.6,0.9,1.48e-15,4.54e-05,9.568e-06,4.744983277591973,30,30,PASS,
adv:wilkinson_like@10,10,0.4,0.5,0.9,1e-15,4.14e-05,8.846e-06,4.680081392719873,30,30,PASS,
adv:two_clusters@10,10,0.5,0.6,0.5,4.44e-16,1.688e-05,5.954e-06,2.835068861269735,30,30,PASS,
adv:random_uniform@10,10,0.8,0.6,0.8,1.4e-15,3.291e-05,1.045e-05,3.1492822966507177,30,30,PASS,
adv:diagonal_only@10,10,0.0,0.0,0.0,0.0,1.694e-06,1.008e-06,1.6805555555555556,30,30,PASS,
adv:constant@10,10,0.0,0.0,0.0,0.0,2.112e-06,7.87e-07,2.683608640406607,30,30,PASS,
adv:all_equal_nontrivial@10,10,0.7,0.6,0.8,9.29e-16,3.789e-05,8.217e-06,4.611171960569551,30,30,PASS,
adv:one_big_cluster@10,10,4.2,0.7,0.8,1.11e-15,2.046e-05,6.4e-06,3.1968750000000004,30,30,PASS,
adv:arithmetic_progression@10,10,0.3,0.6,0.5,6.87e-16,2.564e-05,6.931e-06,3.699321887173568,30,30,PASS,
adv:many_near_zero@10,10,0.2,0.6,0.6,1.04e-15,2.319e-05,5.17e-06,4.4854932301740815,30,30,PASS,
adv:random_dense_clusters@10,10,1.5,0.5,1.0,8.49e-16,2.261e-05,6.509e-06,3.473651866646182,30,30,PASS,
adv:constant_d_graded_e@10,10,2.5,0.6,0.3,6.66e-16,1.103e-05,1.274e-05,0.8657770800627943,30,30,PASS,
adv:random_clustered_5@10,10,2.7,0.2,0.1,4.24e-16,8.698e-06,4.167e-06,2.0873530117590593,30,30,PASS,
adv:alternating_sign@10,10,0.6,0.6,0.7,7.75e-16,3.704e-05,9.138e-06,4.053403370540599,30,30,PASS,
adv:step_function@10,10,0.5,0.5,0.6,7.71e-16,2.576e-05,7.081e-06,3.6379042508120323,30,30,PASS,
adv:three_clusters@10,10,0.2,0.3,0.4,6.64e-16,1.772e-05,5.376e-06,3.2961309523809526,30,30,PASS,
adv:random_sparse_e@10,10,0.1,0.1,0.0,2.32e-16,3.641e-06,3.828e-06,0.9511494252873564,30,30,PASS,
adv:chkbd@10,10,0.1,0.3,0.3,4.34e-16,1.621e-05,4.802e-06,3.375676801332778,30,30,PASS,
adv:marques_graded@10,10,0.1,0.5,0.7,7.55e-16,2.251e-05,4.698e-06,4.791400595998297,30,30,PASS,
adv:gl_abcon0@10,10,0.7,0.8,0.9,6.46e-16,3.364e-05,7.498e-06,4.486529741264338,30,30,PASS,
adv:gl_abcon1@10,10,0.6,0.7,0.6,1.23e-15,3.342e-05,7.037e-06,4.749182890436266,30,30,PASS,
adv:gl_abcon2@10,10,2.7,0.6,0.7,9.81e-16,2.883e-05,5.52e-06,5.222826086956522,30,30,PASS,
adv:gl_abcon3@10,10,2.4,0.4,0.8,1.13e-15,3.489e-05,7.871e-06,4.432727734722399,30,30,PASS,
adv:gl_random@10,10,0.3,0.8,0.7,1.35e-15,3.802e-05,6.855e-06,5.546316557257477,30,30,PASS,
adv:gl_gradp@10,10,0.3,0.3,0.7,1.5e-15,2.377e-05,5.41e-06,4.393715341959335,30,30,PASS,
adv:gl_gradm@10,10,0.3,0.6,0.4,1.5e-15,2.419e-05,5.645e-06,4.2852081488042515,30,30,PASS,
adv:gl_wilkp@10,10,0.7,0.4,0.2,6.25e-16,1.523e-05,4.464e-06,3.4117383512544803,30,30,PASS,
adv:gl_wilkm@10,10,0.3,0.3,0.6,4.95e-16,1.73e-05,4.565e-06,3.789704271631982,30,30,PASS,
adv:gl_wilkw@10,10,1.7,0.6,0.6,1.38e-15,3.6e-05,7.717e-06,4.665025268886873,30,30,PASS,
adv:gl_wilk2w@10,10,2.2,0.7,0.7,1.35e-15,3.121e-05,6.458e-06,4.8327655620935275,30,30,PASS,
adv:gl_clement@10,10,0.0,0.0,0.0,1.48e-16,6.403e-06,2.858e-06,2.24037788663401,30,30,PASS,
adv:gl_gro0@10,10,0.4,0.4,0.8,8.16e-16,3.549e-05,7.797e-06,4.551750673335898,30,30,PASS,
adv:gl_gro1@10,10,1.3,0.5,0.7,8.26e-16,2.959e-05,5.905e-06,5.011007620660457,30,30,PASS,
adv:gl_gro2@10,10,0.2,0.4,0.3,3.9e-16,1.876e-05,5.977e-06,3.138698343650661,30,30,PASS,
adv:gl_gro3@10,10,0.4,0.3,0.4,3.81e-16,1.224e-05,3.166e-06,3.8660770688566015,30,30,PASS,
adv:gl_bwilkp@10,10,0.5,0.7,0.6,6.28e-16,1.93e-05,5.227e-06,3.6923665582552134,30,30,PASS,
adv:gl_ones@10,10,0.0,0.0,0.0,0.0,2.032e-06,6.67e-07,3.0464767616191906,30,30,PASS,
adv:gl_uniform_eps@10,10,0.0,0.0,0.0,0.0,3.232e-06,1.554e-06,2.07979407979408,30,30,PASS,
adv:gl_uniform_sqrteps@10,10,0.0,0.0,0.0,0.0,3.563e-06,8.76e-07,4.067351598173516,30,30,PASS,
adv:gl_uniform_eps_to_1@10,10,0.0,0.0,0.0,0.0,2.922e-06,8.7e-07,3.3586206896551722,30,30,PASS,
adv:gl_geometric_eps_to_1@10,10,0.0,0.0,0.0,0.0,2.943e-06,1.062e-06,2.7711864406779663,30,30,PASS,
adv:gl_random_spectrum@10,10,0.5,0.6,1.0,1.04e-15,3.181e-05,8.696e-06,3.6580036798528064,30,30,PASS,
adv:gl_clustered_at_1@10,10,0.0,0.0,0.0,0.0,2.544e-06,7.24e-07,3.513812154696133,30,30,PASS,
adv:gl_clustered_at_pm1@10,10,0.0,0.0,0.0,0.0,3.07e-06,8.75e-07,3.5085714285714285,30,30,PASS,
adv:gl_clustered_at_eps@10,10,0.0,0.0,0.0,0.0,2.43e-06,6.63e-07,3.665158371040724,30,30,PASS,
adv:gl_clustered_at_pmeps@10,10,0.0,0.0,0.0,0.0,2.561e-06,7.76e-07,3.300257731958763,30,30,PASS,
adv:demmel_S1pe@10,10,0.0,0.6,0.7,6.16e-16,3.272e-05,6.742e-06,4.853159299911005,30,30,PASS,
adv:demmel_S1ps@10,10,0.1,1.0,0.7,8.59e-16,3.117e-05,7.48e-06,4.1671122994652405,30,30,PASS,
adv:demmel_S2pe@10,10,0.4,0.5,0.3,2.21e-16,3.033e-05,6.082e-06,4.986846432094706,30,30,PASS,
adv:demmel_S2ps@10,10,0.3,0.5,0.6,8.85e-16,2.796e-05,6.789e-06,4.1184268669907205,30,30,PASS,
adv:demmel_W1@10,10,0.0,0.8,0.8,1.02e-15,2.592e-05,5.93e-06,4.370994940978077,30,30,PASS,
adv:demmel_W2@10,10,0.0,0.7,0.6,8.9e-16,2.399e-05,6.264e-06,3.829821200510856,30,30,PASS,
adv:demmel_W3@10,10,0.4,0.6,0.5,8.86e-16,2.564e-05,5.613e-06,4.567967218955994,30,30,PASS,
adv:demmel_G1@10,10,0.2,0.1,0.3,5.71e-16,1.363e-05,3.666e-06,3.7179487179487176,30,30,PASS,
adv:demmel_G1s@10,10,0.1,0.7,0.5,3.6e-16,2.214e-05,4.857e-06,4.558369363804818,30,30,PASS,
adv:demmel_U1@10,10,4.5,0.6,0.6,1.17e-15,2.495e-05,5.213e-06,4.786111643967006,30,30,PASS,
adv:demmel_U1s@10,10,4.4,0.4,0.5,6.68e-16,2.46e-05,6.745e-06,3.6471460340993334,30,30,PASS,
adv:wilkinson_exact@10,10,0.7,0.4,0.4,7.19e-16,1.858e-05,6.102e-06,3.044903310390036,30,30,PASS,
adv:glued_wilkinson@10,10,0.3,0.6,0.4,6.47e-16,3.168e-05,8.861e-06,3.5752172441033743,30,30,PASS,
