name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
adv:exponential_graded@10,10,0.845,0.226,0.1,0.296,0.003221,3.392e-06,949.5872641509434,30,30,PASS,
adv:glued_repeated@10,10,0.502,0.484,0.479,6.25e-16,0.003152,6.922e-06,455.3597226235192,30,30,PASS,
adv:saw_tooth@10,10,0.656,0.206,0.195,6.7e-16,0.003182,6.625e-06,480.3018867924528,30,30,PASS,
adv:stemr_killer@10,10,0.893,0.1,0.45,0.0717,0.003196,3.3e-06,968.4848484848485,30,30,PASS,
adv:huge_condition@10,10,0.936,0.4,0.2,0.000361,0.003191,3.274e-06,974.6487477092242,30,30,PASS,
adv:spike@10,10,0.882,0.296,0.3,1.41e-11,0.003074,7.569e-06,406.13026819923374,30,30,PASS,
adv:wilkinson_like@10,10,0.523,0.337,0.364,1.04e-15,0.00326,6.937e-06,469.94377973187255,30,30,PASS,
adv:two_clusters@10,10,0.716,0.154,0.101,1.15e-15,0.003128,5.368e-06,582.7123695976155,30,30,PASS,
adv:random_uniform@10,10,0.931,0.2,0.25,1.6e-14,0.003157,7.066e-06,446.78743277667706,30,30,PASS,
adv:diagonal_only@10,10,0.0,0.0,0.0,0.0,0.002959,5.14e-07,5756.809338521401,30,30,PASS,
adv:constant@10,10,0.0,0.0,0.0,0.0,0.003011,4.47e-07,6736.017897091722,30,30,PASS,
adv:all_equal_nontrivial@10,10,0.377,0.571,0.552,1.49e-15,0.003176,6.357e-06,499.60673273556705,30,30,PASS,
adv:one_big_cluster@10,10,0.806,0.728,0.801,1.55e-15,0.00304,5.321e-06,571.3211802292802,30,30,PASS,
adv:arithmetic_progression@10,10,0.498,0.27,0.3,1.19e-07,0.003234,5.12e-06,631.640625,30,30,PASS,
adv:many_near_zero@10,10,0.622,0.15,0.15,0.0938,0.003132,3.973e-06,788.3211678832116,30,30,PASS,
adv:random_dense_clusters@10,10,0.944,0.201,0.3,5.87e-14,0.003232,5.191e-06,622.6160662685418,30,30,PASS,
adv:constant_d_graded_e@10,10,0.622,0.15,0.1,2.44e-15,0.003158,9.759e-06,323.5987293780101,30,30,PASS,
adv:random_clustered_5@10,10,0.866,0.2,0.15,1.49e-15,0.003194,3.161e-06,1010.4397342613097,30,30,PASS,
adv:alternating_sign@10,10,0.459,1.135,1.139,4.02e-16,0.003144,6.789e-06,463.1020768890853,30,30,PASS,
adv:step_function@10,10,0.916,0.986,0.97,6.23e-14,0.003313,5.236e-06,632.7349121466768,30,30,PASS,
adv:three_clusters@10,10,0.876,5.083,5.078,8.16e-08,0.003293,4.077e-06,807.7017414765759,30,30,FAIL,
adv:random_sparse_e@10,10,0.494,0.15,0.2,5.19e-16,0.003041,2.174e-06,1398.8040478380865,30,30,PASS,
adv:chkbd@10,10,0.893,0.1,0.45,0.0717,0.003098,3.103e-06,998.3886561392201,30,30,PASS,
adv:marques_graded@10,10,0.888,0.1,0.2,7.9e-08,0.003023,3.775e-06,800.7947019867551,30,30,PASS,
adv:gl_abcon0@10,10,0.502,0.484,0.479,6.25e-16,0.00314,6.415e-06,489.4777864380358,30,30,PASS,
adv:gl_abcon1@10,10,0.399,1.186,1.095,2.81e-15,0.003118,6.132e-06,508.48010437051533,30,30,PASS,
adv:gl_abcon2@10,10,0.604,0.188,0.154,8.42e-16,0.003099,5.468e-06,566.7520117044623,30,30,PASS,
adv:gl_abcon3@10,10,0.406,1.207,1.204,2.62e-15,0.003109,6.431e-06,483.43958948841544,30,30,PASS,
adv:gl_random@10,10,0.339,0.103,0.25,5.59e-14,0.003144,6.825e-06,460.65934065934067,30,30,PASS,
adv:gl_gradp@10,10,0.752,0.2,0.2,3.48e-13,0.00322,4.817e-06,668.465850114179,30,30,PASS,
adv:gl_gradm@10,10,0.811,0.2,0.15,3.12e-13,0.003076,4.605e-06,667.9695982627579,30,30,PASS,
