name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
dense:dlatms_mode1_eps@10,10,0.2,0.2,0.2,1.0,7.907e-06,1.152e-05,0.6863715277777779,30,30,PASS,
dense:dlatms_mode1_eps@100,100,0.0,0.0,0.0,1.0,0.0001085,0.0005073,0.21387739010447465,30,30,PASS,
dense:dlatms_mode1_eps@200,200,0.0,0.0,0.0,1.0,0.0005423,0.001638,0.3310744810744811,30,30,PASS,
dense:dlatms_mode1_eps@400,400,0.0,0.0,0.0,1.0,0.002851,0.003396,0.8395170789163721,30,30,PASS,
dense:dlatms_mode2_eps@10,10,0.3,0.7,0.7,0.0,2.666e-05,3.314e-06,8.044659022329512,30,30,PASS,
dense:dlatms_mode2_eps@100,100,0.1,1.0,1.1,2.55e-16,0.00126,1.216e-05,103.61842105263158,30,30,PASS,
dense:dlatms_mode2_eps@200,200,0.0,0.6,0.6,2.6e-16,0.002497,1.761e-05,141.79443498012495,30,30,PASS,
dense:dlatms_mode2_eps@400,400,0.0,1.1,1.1,2.22e-16,0.01079,3.201e-05,337.0821618244298,18,30,PASS,
dense:dlatms_mode3_eps@10,10,0.1,0.2,0.3,0.0,1.096e-05,4.072e-06,2.6915520628683693,30,30,PASS,
dense:dlatms_mode3_eps@100,100,0.0,0.1,0.2,0.0291,0.0004896,9.144e-05,5.354330708661417,30,30,PASS,
dense:dlatms_mode3_eps@200,200,0.0,0.2,0.2,0.122,0.002136,0.0003251,6.5702860658259,30,30,PASS,
dense:dlatms_mode3_eps@400,400,0.0,0.3,0.3,0.082,0.01046,0.001416,7.387005649717515,19,30,PASS,
dense:dlatms_mode4_eps@10,10,0.3,0.9,1.0,0.0,1.334e-05,7.698e-06,1.7329176409457,30,30,PASS,
dense:dlatms_mode4_eps@100,100,0.2,1.9,1.9,0.0,0.0007013,0.0002553,2.7469643556600074,30,30,PASS,
dense:dlatms_mode4_eps@200,200,0.2,4.5,4.5,0.0,0.002846,0.0009158,3.1076654291329984,30,30,PASS,
dense:dlatms_mode4_eps@400,400,0.1,5.3,5.3,0.0,0.01297,0.004017,3.2287776947971127,16,30,FAIL,
dense:dlatms_mode5_random@10,10,0.1,0.6,0.6,0.0,1.48e-05,4.227e-06,3.501301159214573,30,30,PASS,
dense:dlatms_mode5_random@100,100,0.0,4.4,4.4,0.0,0.0005191,7.012e-05,7.403023388476897,30,30,PASS,
dense:dlatms_mode5_random@200,200,0.0,1.5,1.5,0.0,0.002036,0.0002241,9.085229808121374,30,30,PASS,
dense:dlatms_mode5_random@400,400,0.0,2.2,2.2,0.0647,0.01024,0.0008306,12.328437274259572,19,30,PASS,
dense:dense_three_clusters@10,10,450359962737049.6,0.716,450359962737049.6,1.0,2.259e-05,4.792e-06,4.714106844741235,30,30,FAIL,
dense:dense_three_clusters@100,100,0.0,1.1,1.1,1.0,0.001498,8.534e-05,17.553316147176,30,30,PASS,
dense:dense_three_clusters@200,200,0.0,1.0,1.0,1.0,0.006335,0.0003884,16.310504634397528,30,30,PASS,
dense:dense_three_clusters@400,400,0.0,4.4,4.3,1.0,0.0327,0.001639,19.95118974984747,7,30,PASS,
dense:dense_one_tight_cluster@10,10,0.5,1.0,0.7,0.0,1.883e-05,3.42e-06,5.505847953216374,30,30,PASS,
dense:dense_one_tight_cluster@100,100,0.5,0.9,0.8,0.0,0.0009388,8.83e-06,106.3193657984145,30,30,PASS,
dense:dense_one_tight_cluster@200,200,0.4,0.6,0.6,0.0,0.005861,2.258e-05,259.56598759964567,30,30,PASS,
dense:dense_one_tight_cluster@400,400,0.1,1.8,1.8,2.22e-16,0.0201,0.001848,10.876623376623376,10,30,PASS,
dense:dense_half_rank@10,10,0.2,0.2,0.2,1.0,7.843e-06,5.032e-06,1.5586248012718598,30,30,PASS,
dense:dense_half_rank@100,100,0.0,0.1,0.1,1.0,0.0002172,0.0001015,2.1399014778325123,30,30,PASS,
dense:dense_half_rank@200,200,0.0,0.2,0.2,1.0,0.0009223,0.0003786,2.4360802958267302,30,30,PASS,
dense:dense_half_rank@400,400,0.0,0.4,0.4,1.0,0.004658,0.001613,2.887786732796032,30,30,PASS,
dense:dense_repeated_sv@10,10,0.3,0.7,0.5,1.0,2.504e-05,5.902e-06,4.242629617078956,30,30,PASS,
dense:dense_repeated_sv@100,100,16978.571,2.54,40577432642608.17,1.0,0.001268,9.624e-05,13.17539484621779,30,30,FAIL,
dense:dense_repeated_sv@200,200,0.0,10.7,10.7,1.0,0.005776,0.000352,16.40909090909091,30,30,FAIL,
dense:dense_repeated_sv@400,400,0.0,5.3,5.3,1.0,0.0298,0.001422,20.956399437412095,7,30,FAIL,
dense:dense_hilbert@10,10,0.1,0.2,0.3,0.0,1.541e-05,6.058e-06,2.5437438098382303,30,30,PASS,
dense:dense_hilbert@100,100,0.0,0.0,0.0,1.0,0.0001232,0.000162,0.7604938271604939,30,30,PASS,
dense:dense_hilbert@200,200,0.0,0.0,0.0,1.0,0.0004688,0.0006716,0.6980345443716499,30,30,PASS,
dense:dense_hilbert@400,400,0.0,0.0,0.0,1.0,0.002349,0.003183,0.7379830348727615,30,30,PASS,
dense:dense_kahan@10,10,0.4,1.7,1.5,0.0,1.848e-05,8.55e-06,2.16140350877193,30,30,PASS,
dense:dense_kahan@100,100,0.0,1.7,1.8,0.0,0.0005927,0.0001759,3.369528140989199,30,30,PASS,
dense:dense_kahan@200,200,0.0,0.9,0.9,0.0,0.002499,0.0006178,4.044998381353189,30,30,PASS,
