name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
dense:dlatms_mode1_eps@10,10,0.1,0.7,0.8,7.64e-16,5.078e-05,9.99e-06,5.083083083083083,30,30,PASS,
dense:dlatms_mode1_eps@100,100,0.0,0.3,0.4,6.43e-15,0.005799,0.0005061,11.458209839952579,30,30,PASS,
dense:dlatms_mode1_eps@200,200,0.0,0.2,0.2,7.19e-15,0.03454,0.001641,21.048141377209017,6,30,PASS,
dense:dlatms_mode1_eps@400,400,0.0,0.2,0.2,1.29e-14,0.2803,0.003816,73.4538784067086,3,30,PASS,
dense:dlatms_mode2_eps@10,10,3.5,0.0,0.0,0.0,8.282e-06,3.315e-06,2.498340874811463,30,30,PASS,
dense:dlatms_mode2_eps@100,100,0.1,0.0,0.0,4.44e-16,7.453e-05,9.987e-06,7.462701511965556,30,30,PASS,
dense:dlatms_mode2_eps@200,200,0.0,0.0,0.0,4.44e-16,0.0002693,1.652e-05,16.30145278450363,30,30,PASS,
dense:dlatms_mode2_eps@400,400,0.0,0.0,0.0,8.88e-16,0.001432,2.771e-05,51.67809455070371,30,30,PASS,
dense:dlatms_mode3_eps@10,10,0.1,0.3,0.4,4.2e-16,1.503e-05,3.513e-06,4.278394534585824,30,30,PASS,
dense:dlatms_mode3_eps@100,100,0.1,0.2,0.1,1.5e-15,0.001918,8.838e-05,21.70174247567323,30,30,PASS,
dense:dlatms_mode3_eps@200,200,0.1,0.1,0.1,3.15e-15,0.01359,0.0003265,41.62327718223583,15,30,PASS,
dense:dlatms_mode3_eps@400,400,0.1,0.1,0.1,4.35e-15,0.1461,0.001416,103.17796610169492,3,30,PASS,
dense:dlatms_mode4_eps@10,10,0.4,0.5,0.5,5.55e-16,3.17e-05,6.58e-06,4.817629179331307,30,30,PASS,
dense:dlatms_mode4_eps@100,100,0.3,0.2,0.3,3.59e-15,0.004259,0.0002561,16.630222569308863,30,30,PASS,
dense:dlatms_mode4_eps@200,200,0.2,0.2,0.2,4.74e-15,0.02606,0.000916,28.449781659388645,8,30,PASS,
dense:dlatms_mode4_eps@400,400,0.1,0.1,0.1,5.88e-15,0.2022,0.004031,50.16125031009675,3,30,PASS,
dense:dlatms_mode5_random@10,10,0.1,0.7,0.4,4.38e-16,1.415e-05,4.069e-06,3.47751290243303,30,30,PASS,
dense:dlatms_mode5_random@100,100,0.1,0.1,0.1,1.86e-15,0.001094,7.063e-05,15.489168908395863,30,30,PASS,
dense:dlatms_mode5_random@200,200,0.1,0.1,0.1,2.43e-15,0.005528,0.0002246,24.612644701691895,30,30,PASS,
dense:dlatms_mode5_random@400,400,0.1,0.1,0.1,3.47e-15,0.04788,0.000831,57.61732851985559,5,30,PASS,
dense:dense_three_clusters@10,10,1.2,0.4,0.3,5.55e-16,1.512e-05,4.475e-06,3.37877094972067,30,30,PASS,
dense:dense_three_clusters@100,100,0.2,0.4,0.2,4.11e-15,0.001653,8.459e-05,19.541316940536706,30,30,PASS,
dense:dense_three_clusters@200,200,0.2,0.3,0.1,5.77e-15,0.01047,0.0003867,27.07525213343677,19,30,PASS,
dense:dense_three_clusters@400,400,0.1,0.3,0.2,7.99e-15,0.1016,0.001637,62.06475259621258,3,30,PASS,
dense:dense_one_tight_cluster@10,10,0.7,0.0,0.0,0.0,2.84e-06,3.146e-06,0.9027336300063572,30,30,PASS,
dense:dense_one_tight_cluster@100,100,0.5,0.0,0.0,8.22e-15,7.709e-05,8.856e-06,8.70483288166215,30,30,PASS,
dense:dense_one_tight_cluster@200,200,0.3,0.1,0.3,1.4e-14,0.001869,1.973e-05,94.72883933096807,30,30,PASS,
dense:dense_one_tight_cluster@400,400,0.2,0.0,0.4,7.55e-15,0.03334,0.001845,18.070460704607047,6,30,PASS,
dense:dense_half_rank@10,10,0.1,0.4,0.3,5.12e-16,1.654e-05,5.023e-06,3.2928528767668728,30,30,PASS,
dense:dense_half_rank@100,100,0.2,0.2,0.2,1.88e-15,0.00193,0.0001013,19.052319842053308,30,30,PASS,
dense:dense_half_rank@200,200,0.1,0.1,0.1,3.79e-15,0.01224,0.0003756,32.587859424920126,17,30,PASS,
dense:dense_half_rank@400,400,0.1,0.1,0.1,6.72e-15,0.112,0.001612,69.4789081885856,3,30,PASS,
dense:dense_repeated_sv@10,10,0.2,0.2,0.5,2.22e-16,2.013e-05,7.759e-06,2.594406495682433,30,30,PASS,
dense:dense_repeated_sv@100,100,0.1,0.2,0.2,4.5e-15,0.00167,9.615e-05,17.36869474778991,30,30,PASS,
dense:dense_repeated_sv@200,200,0.0,0.1,0.2,3.2e-15,0.009961,0.0003534,28.186191284663266,20,30,PASS,
dense:dense_repeated_sv@400,400,0.1,0.1,0.1,5.19e-15,0.08788,0.001416,62.06214689265537,3,30,PASS,
dense:dense_hilbert@10,10,0.1,0.2,0.4,6.85e-16,1.747e-05,5.168e-06,3.3804179566563466,30,30,PASS,
dense:dense_hilbert@100,100,0.0,0.2,0.3,2.93e-15,0.002645,0.0001622,16.307028360049323,30,30,PASS,
dense:dense_hilbert@200,200,0.0,0.2,0.1,7.44e-15,0.01832,0.0006758,27.10861201538917,11,30,PASS,
dense:dense_hilbert@400,400,0.0,0.1,0.1,1.23e-14,0.1895,0.003178,59.628697293895534,3,30,PASS,
dense:dense_kahan@10,10,0.7,1.4,1.3,1.84e-15,2.729e-05,8.157e-06,3.345592742429815,30,30,PASS,
dense:dense_kahan@100,100,0.1,0.2,0.2,4.65e-15,0.00327,0.0001772,18.45372460496614,30,30,PASS,
dense:dense_kahan@200,200,0.0,0.2,0.2,7.92e-15,0.02853,0.0006188,46.105365223012285,8,30,PASS,
dense:dense_kahan@400,400,0.0,0.1,0.1,8.6e-15,0.2585,0.002144,120.56902985074626,3,30,PASS,
dense:dense_condition_1e20@10,10,0.1,0.3,0.4,5.39e-16,1.447e-05,3.915e-06,3.696040868454662,30,30,PASS,
dense:dense_condition_1e20@100,100,0.1,0.1,0.1,1.78e-15,0.001525,7.424e-05,20.54148706896552,30,30,PASS,
dense:dense_condition_1e20@200,200,0.2,0.1,0.1,2.5e-15,0.01011,0.0002727,37.07370737073707,20,30,PASS,
dense:dense_condition_1e20@400,400,0.1,0.1,0.1,4.57e-15,0.0961,0.001156,83.13148788927337,3,30,PASS,
dense:dense_wilkinson_sv@10,9,0.6,0.8,0.6,7.48e-16,2.956e-05,6.558e-06,4.507471790179934,30,30,PASS,
dense:dense_wilkinson_sv@100,99,0.3,0.3,0.3,6.7e-15,0.0041,0.0003172,12.925598991172762,30,30,PASS,
dense:dense_wilkinson_sv@200,199,0.2,0.2,0.2,7.71e-15,0.02234,0.001106,20.198915009041592,9,30,PASS,
dense:dense_wilkinson_sv@400,399,0.1,0.1,0.1,1.97e-14,0.1972,0.004647,42.43598020228104,3,30,PASS,
dense:dense_wl_example41@10,10,4.0,0.4,0.3,4.3e-16,2.287e-05,4.938e-06,4.631429728635075,30,30,PASS,
dense:dense_wl_example41@100,100,0.1,0.3,0.2,3.63e-15,0.002441,0.000145,16.83448275862069,30,30,PASS,
dense:dense_wl_example41@200,200,0.0,0.2,0.2,5.58e-15,0.01771,0.0006871,25.77499636151943,12,30,PASS,
dense:dense_wl_example41@400,400,0.0,0.1,0.1,7.67e-15,0.1963,0.003234,60.69882498453927,3,30,PASS,
dense:dense_near_overflow@10,10,0.2,0.5,0.4,4.87e-16,1.946e-05,4.007e-06,4.85650112303469,30,30,PASS,
dense:dense_near_overflow@100,100,0.3,0.2,0.1,2.34e-15,0.003207,0.0001134,28.280423280423282,30,30,PASS,
dense:dense_near_overflow@200,200,0.2,0.2,0.1,4.15e-15,0.02234,0.0004386,50.93479252165982,9,30,PASS,
dense:dense_near_overflow@400,400,0.1,0.1,0.1,6.45e-15,0.2089,0.001924,108.57588357588358,3,30,PASS,
dense:dense_near_underflow@10,10,0.2,0.5,0.4,6.57e-16,2.198e-05,4.245e-06,5.177856301531213,30,30,PASS,
dense:dense_near_underflow@100,100,0.3,0.2,0.2,2.83e-15,0.003244,0.000115,28.208695652173912,30,30,PASS,
dense:dense_near_underflow@200,200,0.2,0.1,0.1,4.02e-15,0.02252,0.0004385,51.35689851767388,9,30,PASS,
dense:dense_near_underflow@400,400,0.1,0.1,0.1,5.79e-15,0.1964,0.001926,101.9730010384216,3,30,PASS,
dense:dense_random@10,10,0.3,0.4,0.6,1.04e-15,2.885e-05,6.167e-06,4.678125506729366,30,30,PASS,
dense:dense_random@100,100,0.3,0.2,0.3,4.38e-15,0.004176,0.0002592,16.11111111111111,30,30,PASS,
dense:dense_random@200,200,0.1,0.2,0.2,3.89e-15,0.02442,0.0009456,25.8248730964467,9,30,PASS,
dense:dense_random@400,400,0.1,0.1,0.1,6.72e-15,0.2004,0.004063,49.32316022643367,3,30,PASS,
dense:dense_vandermonde@10,10,2.6,0.6,0.8,4.34e-16,3.642e-05,7.944e-06,4.5845921450151055,30,30,PASS,
dense:dense_vandermonde@100,100,0.5,0.1,0.1,2.6e-15,0.001219,6.627e-05,18.39444695940848,30,30,PASS,
dense:dense_vandermonde@200,200,0.1,0.1,0.1,4.08e-15,0.009706,0.0003487,27.834815027244044,21,30,PASS,
dense:dense_vandermonde@400,400,0.2,0.1,0.1,6.47e-15,0.1236,0.001929,64.0746500777605,3,30,PASS,
dense:dense_toeplitz@10,10,0.3,0.9,0.4,5.87e-16,2.431e-05,6.493e-06,3.7440320344986904,30,30,PASS,
dense:dense_toeplitz@100,100,0.0,0.3,0.2,3.88e-15,0.003399,0.0001533,22.17221135029354,30,30,PASS,
dense:dense_toeplitz@200,200,0.0,0.2,0.2,1.15e-14,0.02178,0.000549,39.67213114754099,10,30,PASS,
dense:dense_toeplitz@400,400,0.0,0.2,0.1,9.35e-15,0.2064,0.00235,87.82978723404256,3,30,PASS,
dense:dense_frank@10,10,0.9,0.6,0.4,1.06e-15,2.414e-05,6.077e-06,3.9723547803192365,30,30,PASS,
dense:dense_frank@100,100,0.1,0.2,0.2,3.88e-15,0.00332,0.0001517,21.88529993408042,30,30,PASS,
dense:dense_frank@200,200,0.0,0.2,0.2,4.88e-15,0.02128,0.0005506,38.648746821649105,10,30,PASS,
dense:dense_frank@400,400,0.0,0.1,0.1,1.14e-14,0.2001,0.00235,85.14893617021276,3,30,PASS,
dense:dense_companion_exp@10,10,0.3,0.2,0.4,5.13e-16,9.228e-06,5.362e-06,1.720999627004849,30,30,PASS,
dense:dense_companion_exp@100,100,0.0,0.0,0.0,6.84e-16,5.783e-05,1.022e-05,5.658512720156556,30,30,PASS,
dense:dense_companion_exp@200,200,0.0,0.0,0.0,0.0,1.568e-05,2.055e-06,7.630170316301704,30,30,PASS,
dense:dense_companion_exp@400,400,0.0,0.0,0.0,0.0,5.169e-05,3.821e-06,13.527872284742212,30,30,PASS,
dense:dense_moler_like@10,10,0.6,1.1,0.6,7.31e-16,3.821e-05,9.555e-06,3.9989534275248557,30,30,PASS,
dense:dense_moler_like@100,100,0.4,0.3,0.3,2.66e-15,0.005059,0.0005433,9.311614209460704,30,30,PASS,
dense:dense_moler_like@200,200,0.2,0.2,0.2,8.25e-15,0.03199,0.002362,13.543607112616426,7,30,PASS,
dense:dense_moler_like@400,400,0.2,0.2,0.2,9.89e-15,0.311,0.009258,33.592568589328145,3,22,PASS,
paper:glued_wilk_3x21_sqrteps,63,0.5,0.3,0.4,5.98e-15,0.001267,0.0001267,10.0,30,30,PASS,
paper:glued_wilk_5x21_sqrteps,105,0.3,0.2,0.3,3.58e-15,0.004146,0.0002982,13.903420523138834,30,30,PASS,
paper:glued_wilk_3x21_1e14,63,0.2,0.2,0.2,1.18e-15,0.0006691,6.145e-05,10.888527257933278,30,30,PASS,
paper:glued_wilk_10x11_sqrteps,110,0.4,0.2,0.2,3.68e-15,0.00403,0.0002691,14.97584541062802,30,30,PASS,
paper:exponential_graded_glued_small@10,9,0.2,0.3,0.3,5.15e-16,1.692e-05,4.487e-06,3.7708936928905725,30,30,PASS,
paper:exponential_graded_glued_small@100,99,0.5,0.2,0.2,2.54e-15,0.001276,8.82e-05,14.467120181405896,30,30,PASS,
paper:exponential_graded_glued_small@200,198,0.2,0.1,0.1,2.93e-15,0.007057,0.0002886,24.45252945252945,28,30,PASS,
paper:exponential_graded_glued_small@400,399,0.1,0.1,0.1,7.16e-15,0.07294,0.0009141,79.7943332239361,3,30,PASS,
paper:exponential_graded_glued_medium@10,10,0.3,0.4,0.3,6.17e-16,1.675e-05,4.226e-06,3.9635589209654523,30,30,PASS,
