name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
dense:dlatms_mode1_eps@10,10,0.1,0.0,0.15,0.565,0.003063,7.99e-06,383.3541927409262,30,30,PASS,
dense:dlatms_mode1_eps@100,100,0.01,0.0,0.01,0.562,0.004368,0.0004029,10.841399851079673,30,30,PASS,
dense:dlatms_mode1_eps@200,200,0.005,0.0,0.005,0.47,0.008882,0.00147,6.042176870748299,22,30,PASS,
dense:dlatms_mode1_eps@400,400,0.002,0.0,0.003,0.578,0.02654,0.003039,8.733135899967095,8,30,PASS,
dense:dlatms_mode2_eps@10,10,0.701,0.442,0.452,0.375,0.003191,2.104e-06,1516.634980988593,30,30,PASS,
dense:dlatms_mode2_eps@100,100,0.069,0.015,0.011,0.143,0.004749,7.958e-06,596.7579793918069,30,30,PASS,
dense:dlatms_mode2_eps@200,200,0.047,0.01,0.011,0.0362,0.008983,1.301e-05,690.468870099923,22,30,PASS,
dense:dlatms_mode2_eps@400,400,0.026,0.009,0.009,0.00194,0.0274,2.435e-05,1125.2566735112937,8,30,PASS,
dense:dlatms_mode3_eps@10,10,0.946,0.591,0.2,0.00115,0.003176,3.068e-06,1035.2020860495436,30,30,PASS,
dense:dlatms_mode3_eps@100,100,0.617,0.128,0.08,0.518,0.01214,7.854e-05,154.57091927680162,17,30,PASS,
dense:dlatms_mode3_eps@200,200,1.003,0.239,0.265,0.55,0.03873,0.0002903,133.41370995521874,6,30,PASS,
dense:dlatms_mode3_eps@400,400,1.169,0.519,0.473,0.4,0.1447,0.001126,128.50799289520424,3,30,PASS,
dense:dlatms_mode4_eps@10,10,0.454,0.2,0.183,7.77e-16,0.003207,5.67e-06,565.6084656084656,30,30,PASS,
dense:dlatms_mode4_eps@100,100,0.063,0.308,0.316,2.5e-14,0.02047,0.0002273,90.05719313682357,10,30,PASS,
dense:dlatms_mode4_eps@200,200,0.028,0.404,0.4,1.9e-14,0.07196,0.0008199,87.76680082936943,3,30,PASS,
dense:dlatms_mode4_eps@400,400,0.026,0.492,0.495,2.62e-14,0.2767,0.003218,85.98508390304538,3,30,PASS,
dense:dlatms_mode5_random@10,10,0.845,0.44,0.435,0.0737,0.003135,3.758e-06,834.2203299627462,30,30,PASS,
dense:dlatms_mode5_random@100,100,0.956,0.479,0.475,1.01,0.01153,6.262e-05,184.12647716384544,17,30,PASS,
dense:dlatms_mode5_random@200,200,0.936,0.343,0.343,0.658,0.03872,0.0002,193.59999999999997,6,30,PASS,
dense:dlatms_mode5_random@400,400,1.106,1.091,1.086,0.575,0.1445,0.0006633,217.85014322327754,3,30,PASS,
dense:dense_three_clusters@10,10,0.944,1.332,1.264,0.887,0.003148,3.468e-06,907.7277970011535,30,30,PASS,
dense:dense_three_clusters@100,100,0.874,0.14,0.14,6.48,0.005384,7.514e-05,71.65291455948895,30,30,PASS,
dense:dense_three_clusters@200,200,1.058,0.261,0.261,8.01,0.01266,0.0003469,36.49466705102335,16,30,PASS,
dense:dense_three_clusters@400,400,0.901,0.175,0.175,14.0,0.0701,0.001307,53.63427697016067,3,30,PASS,
dense:dense_one_tight_cluster@10,10,0.708,0.074,0.153,1.44e-15,0.003109,2.026e-06,1534.5508390918062,30,30,PASS,
dense:dense_one_tight_cluster@100,100,0.298,0.222,0.217,9.77e-15,0.005963,7.082e-06,841.9937870658007,30,30,PASS,
dense:dense_one_tight_cluster@200,200,0.517,0.163,0.161,7.77e-15,0.009921,1.616e-05,613.9232673267326,19,30,PASS,
dense:dense_one_tight_cluster@400,400,0.442,0.31,0.31,3.11e-15,0.04345,0.001474,29.47761194029851,5,30,PASS,
dense:dense_half_rank@10,10,0.936,0.2,0.2,0.287,0.003078,4.136e-06,744.1972920696326,30,30,PASS,
dense:dense_half_rank@100,100,0.084,0.21,0.15,1.84,0.007676,9.02e-05,85.09977827050997,26,30,PASS,
dense:dense_half_rank@200,200,0.045,0.1,0.121,4.87,0.0212,0.0003343,63.4160933293449,10,30,PASS,
dense:dense_half_rank@400,400,0.024,0.293,0.288,47.5,0.07811,0.001286,60.73872472783825,3,30,PASS,
dense:dense_repeated_sv@10,10,0.706,0.1,0.1,0.244,0.002995,4.931e-06,607.3818698032853,30,30,PASS,
dense:dense_repeated_sv@100,100,0.878,0.05,0.085,6.07,0.005874,8.613e-05,68.19923371647509,30,30,PASS,
dense:dense_repeated_sv@200,200,1.254,0.218,0.22,7.14,0.01202,0.0003141,38.26806749442853,16,30,PASS,
dense:dense_repeated_sv@400,400,0.887,0.26,0.259,6.3,0.04152,0.001129,36.775907883082375,5,30,PASS,
dense:dense_hilbert@10,10,0.637,0.15,0.392,0.0135,0.003171,3.795e-06,835.5731225296443,30,30,PASS,
dense:dense_hilbert@100,100,0.417,0.091,0.025,2.12,0.005048,0.0001453,34.741913282863045,30,30,PASS,
dense:dense_hilbert@200,200,0.393,0.081,0.013,65.3,0.009431,0.0006037,15.621997680967368,21,30,PASS,
dense:dense_hilbert@400,400,0.316,0.033,0.037,46.6,0.02697,0.002523,10.689655172413794,8,30,PASS,
dense:dense_kahan@10,10,0.454,0.587,0.647,1.28e-15,0.003266,6.133e-06,532.5289417903147,30,30,PASS,
dense:dense_kahan@100,100,0.077,0.113,0.116,7.32e-13,0.0189,0.0001577,119.84781230183893,11,30,PASS,
dense:dense_kahan@200,200,0.439,0.364,0.38,1.02e-10,0.06177,0.0005528,111.74023154848047,4,30,PASS,
dense:dense_kahan@400,400,0.115,0.435,0.459,1.15e-06,0.2124,0.001711,124.13793103448276,3,30,PASS,
dense:dense_condition_1e20@10,10,0.921,0.2,0.1,1.44,0.003102,3.37e-06,920.4747774480713,30,30,PASS,
