name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
STColl_B_03,3,0.5,0.6,0.6,0.0,5.537e-06,3.584e-06,1.544921875,30,30,PASS,
STColl_B_05_2,5,0.1,0.4,0.4,4.02e-16,4.192e-06,2.666e-06,1.5723930982745686,30,30,PASS,
STColl_B_05_d3eq0,5,0.2,0.4,0.4,1.22e-16,7.063e-06,3e-06,2.3543333333333334,30,30,PASS,
STColl_B_05_d5eq0,5,0.2,0.4,0.4,0.0,9.905e-06,4.631e-06,2.13884690131721,30,30,PASS,
STColl_B_05_eye,5,0.0,0.4,0.4,0.0,4.461e-06,8.95e-07,4.984357541899441,30,30,PASS,
STColl_B_11_splits_a,11,0.2,0.2,0.3,2.62e-16,1.321e-05,6.823e-06,1.9360984904001175,30,30,PASS,
STColl_B_11_splits_b,11,0.2,0.4,0.3,4.15e-16,1.239e-05,4.651e-06,2.6639432380133306,30,30,PASS,
STColl_B_12_splits_a,12,0.1,0.3,0.3,4.44e-16,1.258e-05,8.073e-06,1.5582806887154712,30,30,PASS,
STColl_B_16,16,0.1,0.1,0.1,1.0,1.01e-05,9.043e-06,1.1168859891628884,30,30,PASS,
STColl_B_16_smallsv,16,0.1,0.3,0.3,0.0,2.112e-05,6.029e-06,3.503068502239177,30,30,PASS,
STColl_B_20_graded,20,0.2,0.4,0.3,0.0,0.0001149,1.886e-05,6.0922587486744435,30,30,PASS,
STColl_B_40_graded,40,0.1,0.5,0.6,0.0,0.0004708,5.585e-05,8.429722470904208,30,30,PASS,
STColl_B_Kimura_429,429,11.7,1017.3,1017.1,0.0,0.0562,0.003362,16.71624033313504,4,30,FAIL,
STColl_B_bug316_gesdd,26,0.0,0.1,0.1,1.0,1.209e-05,5.282e-06,2.2889057175312377,30,30,PASS,
STColl_B_bug414,4,0.1,0.4,0.2,1.0,5.811e-06,1.731e-06,3.3570190641247835,30,30,PASS,
STColl_B_gg_30_1D-5,330,0.0,2.9,2.9,0.0,0.02891,0.001293,22.358855375096674,7,30,PASS,
STColl_B_glued_09b,9,0.2,2.3,0.5,0.0,2.93e-05,6.408e-06,4.572409488139825,30,30,PASS,
STColl_B_glued_09c,9,0.1,0.2,0.3,0.0,2.751e-05,6.782e-06,4.056325567679151,30,30,PASS,
STColl_B_glued_09d,9,0.1,2.5,0.6,0.0,3.063e-05,7.93e-06,3.8625472887767973,30,30,PASS,
Barlow_4,4,0.2,0.5,0.3,0.0,1.014e-05,3.974e-06,2.5515853044791137,30,30,PASS,
Fann04,300,0.2,7.1,7.1,0.0,0.02823,0.002773,10.180310133429499,8,30,FAIL,
Fann06,180,0.0,0.9,0.8,0.0,0.01079,0.0009083,11.879335021468677,19,30,PASS,
Fann07,120,0.0,2.6,2.6,0.0,0.004254,0.0004217,10.08774009959687,30,30,PASS,
Fann08,180,0.0,2.0,2.0,0.0,0.01086,0.0009106,11.92620250384362,19,30,PASS,
Fann09,120,0.1,0.9,1.0,0.0,0.004353,0.0004419,9.850644942294636,30,30,PASS,
Fann11,120,0.1,1.6,1.6,0.0,0.004405,0.0004412,9.984134179510427,30,30,PASS,
Fournier_100,100,0.2,12.2,12.2,0.0,0.0006855,0.0001953,3.509984639016897,30,30,FAIL,
Julien_30,30,0.1,1.1,1.1,3.17e-16,3.902e-05,8.796e-06,4.436107321509778,30,30,PASS,
Lipshitz_3,1087,0.1,7.8,7.8,0.0,0.2823,0.02542,11.105428796223444,3,8,FAIL,
Lipshitz_4,1088,0.1,206.0,206.0,0.0,0.5757,0.08441,6.820281957114086,1,3,FAIL,
Moler_200,200,0.0,3.4,3.4,0.0,0.006809,0.0006626,10.276184726833685,30,30,PASS,
Moler_200_flipped,200,0.0,3.3,3.3,0.0,0.006999,0.0006662,10.505854097868507,29,30,PASS,
Orti,10,0.3,0.4,0.4,0.0,2.657e-05,1.066e-05,2.4924953095684805,30,30,PASS,
