name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
STColl_B_03,3,0.9,0.4,1.4,6.66e-16,9.595e-06,3.514e-06,2.730506545247581,30,30,PASS,
STColl_B_05_2,5,0.1,0.0,0.1,4.02e-16,5.712e-06,2.712e-06,2.1061946902654864,30,30,PASS,
STColl_B_05_d3eq0,5,0.4,0.2,0.3,1.33e-16,5.284e-06,2.837e-06,1.8625308424391962,30,30,PASS,
STColl_B_05_d5eq0,5,0.4,0.6,0.6,6.96e-16,1.144e-05,4.124e-06,2.7740058195926287,30,30,PASS,
STColl_B_05_eye,5,0.0,0.0,0.0,0.0,1.941e-06,8.3e-07,2.33855421686747,30,30,PASS,
STColl_B_11_splits_a,11,0.2,0.2,0.2,2.83e-16,1.305e-05,4.628e-06,2.819792566983578,30,30,PASS,
STColl_B_11_splits_b,11,0.2,0.2,0.3,3.76e-16,1.252e-05,4.133e-06,3.0292765545608518,30,30,PASS,
STColl_B_12_splits_a,12,0.3,0.4,0.4,7.39e-16,2.24e-05,7.362e-06,3.0426514534093996,30,30,PASS,
STColl_B_16,16,0.0,0.1,0.1,6.05e-16,2.258e-05,7.186e-06,3.142220985249095,30,30,PASS,
STColl_B_16_smallsv,16,0.6,0.2,0.3,7.38e-16,3.474e-05,7.01e-06,4.955777460770329,30,30,PASS,
STColl_B_20_graded,20,2.3,0.5,0.5,1.09e-15,0.0001301,2.033e-05,6.399409739301524,30,30,PASS,
STColl_B_40_graded,40,1.4,0.5,0.4,3.93e-15,0.000588,5.826e-05,10.092687950566425,30,30,PASS,
STColl_B_Kimura_429,429,0.1,0.1,0.1,7.74e-15,0.298,0.003362,88.63771564544913,3,30,PASS,
STColl_B_bug316_gesdd,26,0.0,0.0,0.0,5.07e-16,1.268e-05,4.843e-06,2.6182118521577538,30,30,PASS,
STColl_B_bug414,4,0.1,0.2,0.2,0.0,3.522e-06,3.287e-06,1.071493763310009,30,30,PASS,
STColl_B_gg_30_1D-5,330,0.2,0.1,0.1,7.25e-15,0.05528,0.001294,42.72024729520866,4,30,PASS,
STColl_B_glued_09b,9,4.1,0.3,0.5,6.63e-16,2.067e-05,6.032e-06,3.4267241379310347,30,30,PASS,
STColl_B_glued_09c,9,0.2,0.5,0.6,7.31e-16,2.095e-05,6.579e-06,3.1843745250038,30,30,PASS,
STColl_B_glued_09d,9,2.1,0.6,0.6,5.8e-15,1.899e-05,6.433e-06,2.951966423130732,30,30,PASS,
Barlow_4,4,0.2,0.4,0.5,2.32e-16,4.733e-06,2.934e-06,1.6131561008861621,30,30,PASS,
Fann04,300,0.2,0.2,0.2,7.53e-15,0.06418,0.002775,23.127927927927928,4,30,PASS,
Fann06,180,0.2,0.2,0.2,3.96e-15,0.01323,0.0009097,14.543256018467627,14,30,PASS,
Fann07,120,0.3,0.2,0.2,3.9e-15,0.005238,0.0004238,12.359603586597451,30,30,PASS,
Fann08,180,0.2,0.2,0.2,5.04e-15,0.01429,0.0009137,15.639706687096421,14,30,PASS,
Fann09,120,0.4,0.3,0.2,3.63e-15,0.005278,0.00044,11.995454545454544,30,30,PASS,
Fann11,120,0.3,0.2,0.3,3.65e-15,0.005273,0.0004425,11.91638418079096,30,30,PASS,
Fournier_100,100,0.2,0.2,0.2,2.05e-15,0.00461,0.0001942,23.738414006179198,30,30,PASS,
Julien_30,30,0.1,0.1,0.1,6.33e-16,2.161e-05,9.951e-06,2.171641041101397,30,30,PASS,
