name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
STColl_B_03,3,1.0507685950782662e+17,1501199875790165.2,1501199875790165.2,1.0,0.003358,2.772e-06,1211.3997113997114,19,30,FAIL,
STColl_B_05_2,5,1.602,0.0,0.2,6.94e-11,0.003253,1.873e-06,1736.7859049652964,30,30,PASS,
STColl_B_05_d3eq0,5,0.895,0.3,0.3,1.03e-15,0.003362,1.516e-06,2217.6781002638522,30,30,PASS,
STColl_B_05_d5eq0,5,0.855,0.4,0.355,1.38e-15,0.003268,3.211e-06,1017.7514792899409,30,30,PASS,
STColl_B_05_eye,5,0.0,0.0,0.0,0.0,0.002921,3.44e-07,8491.27906976744,30,30,PASS,
STColl_B_11_splits_a,11,0.767,0.227,0.182,1.12e-15,0.002972,3.764e-06,789.5855472901169,30,30,PASS,
STColl_B_11_splits_b,11,0.474,0.227,0.263,1.09e-15,0.003045,3.367e-06,904.3659043659043,30,30,PASS,
STColl_B_12_splits_a,12,0.36,0.167,0.167,1.48e-15,0.003149,5.509e-06,571.6100925757851,30,30,PASS,
STColl_B_16,16,0.063,0.125,0.062,1060000000000.0,0.003053,5.236e-06,583.0786860198625,30,30,PASS,
STColl_B_16_smallsv,16,0.634,0.671,0.188,0.977,0.003283,5.132e-06,639.7116134060794,30,30,PASS,
STColl_B_20_graded,20,0.255,0.237,0.261,1.09e-15,0.003893,1.767e-05,220.31692133559707,30,30,PASS,
STColl_B_40_graded,40,0.241,0.093,0.09,8.97e-15,0.00585,5.436e-05,107.6158940397351,30,30,PASS,
STColl_B_Kimura_429,429,0.028,0.757,0.757,2.3e-14,0.1687,0.00326,51.74846625766871,3,30,PASS,
STColl_B_bug316_gesdd,26,0.039,0.038,0.0,4330000000.0,0.002994,4.724e-06,633.7849280270957,30,30,PASS,
STColl_B_bug414,4,1.019,0.086,0.011,inf,0.003045,inf,nan,30,0,PASS,
STColl_B_gg_30_1D-5,330,0.033,0.665,0.66,4.1e-14,0.08529,0.001223,69.73834832379396,3,30,PASS,
STColl_B_glued_09b,9,1.035,0.222,0.333,6.77e-06,0.00306,5.634e-06,543.1309904153354,30,30,PASS,
STColl_B_glued_09c,9,0.962,0.333,0.278,1.1e-05,0.003051,5.623e-06,542.5929219277965,30,30,PASS,
STColl_B_glued_09d,9,1.023,0.111,0.111,9.19e-06,0.003047,5.196e-06,586.4126250962279,30,30,PASS,
Barlow_4,4,2.584,0.375,0.25,9.69e-14,0.003061,2.78e-06,1101.0791366906474,30,30,PASS,
Fann04,300,0.028,8.326,8.326,1.79e-15,0.1221,0.002697,45.272525027808676,3,30,FAIL,
Fann06,180,0.057,2.508,2.508,1.79e-15,0.04253,0.0008588,49.522589659990686,5,30,PASS,
Fann07,120,0.074,2.165,2.159,1.23e-15,0.0224,0.0003993,56.09817180065114,9,30,PASS,
Fann08,180,0.069,4.405,4.403,2.2e-15,0.04307,0.0008205,52.49238269347958,5,30,PASS,
Fann09,120,0.08,4.48,4.488,1.67e-15,0.02086,0.0004088,51.02739726027397,10,30,PASS,
Fann11,120,0.068,3.498,3.501,1.95e-15,0.02241,0.0004313,51.95919313702759,9,30,PASS,
Fournier_100,100,0.076,2.236,2.221,1.03e-15,0.02137,0.0001808,118.19690265486726,10,30,PASS,
Julien_30,30,0.228,0.258,0.282,8.54e-15,0.003447,7.402e-06,465.6849500135099,30,30,PASS,
Lipshitz_3,1087,1.025,0.29,0.289,1.84e-14,0.4504,0.02296,19.61672473867596,3,9,PASS,
Lipshitz_4,1088,0.912,1.857,1.858,9.01e-14,1.792,0.07579,23.644280248053835,1,3,PASS,
Moler_200,200,0.045,0.508,0.511,1.97e-15,0.06051,0.0005935,101.95450716090987,4,30,PASS,
Moler_200_flipped,200,0.055,0.835,0.833,1.97e-15,0.06084,0.0005975,101.82426778242677,4,30,PASS,
Orti,10,0.702,0.15,0.1,1.66e-15,0.00335,9.889e-06,338.76023864900395,30,30,PASS,
Parlett_560b,560,0.146,0.002,0.004,4.19e-14,0.05357,0.000144,372.01388888888886,4,30,PASS,
T_0003c,3,2.963,0.333,0.333,2.55e-14,0.003247,2.837e-06,1144.518857948537,30,30,PASS,
T_0007a,7,1.044,0.313,0.294,1.71e-15,0.00326,6.928e-06,470.55427251732095,30,30,PASS,
T_0010,10,0.605,2.684,2.615,1.4e-15,0.003274,7.579e-06,431.98311122839425,30,30,PASS,
T_0010_stexrfailure_TGK,20,0.308,6.931,6.934,1.24e-15,0.003859,2.512e-05,153.62261146496814,30,30,FAIL,
T_0016_smalleig,16,0.507,3.172,3.242,1.9e-15,0.003499,1.517e-05,230.6526038233355,30,30,PASS,
T_0125b,125,0.07,1.15,1.148,1.54e-15,0.02778,0.0003254,85.37185003073141,8,30,PASS,
T_1000,1000,1.065,0.942,0.942,1.06e-13,0.9493,0.0107,88.71962616822431,1,18,PASS,
T_339,339,1.103,2.078,2.075,3.65e-14,0.1155,0.001418,81.45275035260931,3,30,PASS,
T_494_bus,494,0.047,0.653,0.652,6.3e-15,0.3866,0.004779,80.89558485038711,3,30,PASS,
T_685_bus,685,0.064,0.797,0.799,2.91e-15,0.8037,0.008442,95.20255863539445,1,24,PASS,
T_Alemdar_1,6245,0.005,8.072,8.073,1.75e-14,62.13,0.6559,94.72480561061137,1,1,FAIL,
T_Godunov_073,73,0.107,0.087,0.085,1.45e-14,0.00457,6.395e-06,714.6207974980454,30,30,PASS,
T_Godunov_113,113,0.069,0.056,0.055,1.45e-14,0.00576,7.944e-06,725.0755287009064,30,30,PASS,
T_Godunov_147,147,0.053,0.043,0.042,1.45e-14,0.00705,1.012e-05,696.6403162055336,28,30,PASS,
