name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
ev1_ec1_n10_s1,10,0.2,0.4,0.3,1.22e-16,1.312e-05,2.842e-06,4.616467276565799,30,30,PASS,
ev1_ec1_n18_s2_gs,36,0.0,0.1,0.1,2.14e-16,2.837e-05,7.003e-06,4.051120948165073,30,30,PASS,
ev1_ec1_n26_s3_gm,78,0.0,0.4,0.4,4.73e-16,8.799e-05,8.239e-06,10.679694137638062,30,30,PASS,
ev1_ec1_n35_s1,35,0.1,0.4,0.2,4.3e-16,3.034e-05,6.114e-06,4.962381419692509,30,30,PASS,
ev1_ec1_n43_s2_gs,86,0.0,0.5,0.5,4.83e-16,9.802e-05,1.212e-05,8.087458745874589,30,30,PASS,
ev1_ec1_n51_s3_gm,153,0.0,0.9,0.9,1.89e-16,0.0004196,1.652e-05,25.39951573849879,30,30,PASS,
ev1_ec1_n60_s1,60,0.0,0.1,0.1,5.04e-16,5.099e-05,8.387e-06,6.0796470728508405,30,30,PASS,
ev1_ec1_n68_s2_gs,136,0.0,1.5,1.4,1.4e-16,0.0002273,1.472e-05,15.441576086956522,30,30,PASS,
ev1_ec1_n76_s3_gm,228,0.0,0.8,0.8,4.15e-16,0.0007036,2.135e-05,32.95550351288056,30,30,PASS,
ev1_ec1_n85_s1,85,0.0,0.2,0.1,5.22e-16,8.482e-05,7.647e-06,11.091931476395974,30,30,PASS,
ev1_ec1_n93_s2_gs,186,0.0,1.7,1.8,5.89e-16,0.0005828,1.63e-05,35.75460122699386,30,30,PASS,
ev1_ec4_n2_s3_gm,6,0.1,0.4,0.4,0.0,2.069e-05,6.804e-06,3.0408583186360962,30,30,PASS,
ev1_ec4_n11_s1,11,0.1,0.2,0.2,1.23e-16,7.161e-06,4.163e-06,1.7201537352870526,30,30,PASS,
ev1_ec4_n19_s2_gs,38,0.1,0.3,0.4,8.32e-16,2.95e-05,8.944e-06,3.2983005366726297,30,30,PASS,
ev1_ec4_n27_s3_gm,81,0.0,0.1,0.1,1.62e-16,8.489e-05,1.07e-05,7.933644859813084,30,30,PASS,
ev1_ec4_n36_s1,36,0.0,0.1,0.2,1.4e-16,2.434e-05,3.883e-06,6.268349214524852,30,30,PASS,
ev1_ec4_n44_s2_gs,88,0.0,0.4,0.4,0.0,9.344e-05,9.34e-06,10.004282655246252,30,30,PASS,
ev1_ec4_n52_s3_gm,156,0.0,0.4,0.4,1.98e-16,0.0002666,1.362e-05,19.574155653450806,30,30,PASS,
ev1_ec4_n61_s1,61,0.0,0.1,0.1,0.0,4.566e-05,5.716e-06,7.988103568929321,30,30,PASS,
ev1_ec4_n69_s2_gs,138,0.0,0.1,0.1,3.08e-16,0.0002408,1.151e-05,20.920938314509122,30,30,PASS,
ev1_ec4_n77_s3_gm,231,0.0,1.3,1.3,4.33e-16,0.000474,1.705e-05,27.800586510263926,30,30,PASS,
ev1_ec4_n86_s1,86,0.0,0.7,0.7,0.0,7.336e-05,7.015e-06,10.457590876692802,30,30,PASS,
ev1_ec4_n94_s2_gs,188,0.0,2.8,2.8,8.31e-16,0.0004072,1.508e-05,27.0026525198939,30,30,PASS,
ev2_ec1_n3_s3_gm,9,0.4,0.9,1.1,0.0,4.074e-05,3.55e-06,11.476056338028169,30,30,PASS,
ev2_ec1_n12_s1,12,0.3,1.0,1.0,0.0,1.497e-05,2.845e-06,5.261862917398946,30,30,PASS,
ev2_ec1_n20_s2_gs,40,0.2,0.4,0.4,0.0,0.0001182,3.97e-06,29.77329974811083,30,30,PASS,
ev2_ec1_n28_s3_gm,84,0.1,1.1,1.1,2.74e-16,0.0002351,7.475e-06,31.451505016722408,30,30,PASS,
ev2_ec1_n37_s1,37,0.1,2.6,2.6,0.0,9.183e-05,5.025e-06,18.27462686567164,30,30,PASS,
ev2_ec1_n45_s2_gs,90,0.2,0.9,0.9,0.0,0.0004421,7.265e-06,60.85340674466621,30,30,PASS,
ev2_ec1_n53_s3_gm,159,0.0,2.7,2.7,2.17e-16,0.0009364,1.412e-05,66.3172804532578,30,30,PASS,
ev2_ec1_n62_s1,62,0.1,1.5,1.5,1.57e-16,0.000232,6.035e-06,38.44241922120961,30,30,PASS,
ev2_ec1_n70_s2_gs,140,0.2,1.1,1.1,2.11e-16,0.0007084,9.734e-06,72.77583727141976,30,30,PASS,
ev2_ec1_n78_s3_gm,234,0.0,0.6,0.6,1.67e-16,0.001079,1.794e-05,60.14492753623188,30,30,PASS,
ev2_ec1_n87_s1,87,0.1,0.3,0.3,2.17e-16,0.0004429,8.219e-06,53.88733422557488,30,30,PASS,
ev2_ec1_n95_s2_gs,190,0.2,1.5,1.5,2.19e-16,0.003285,1.447e-05,227.0214236351071,30,30,PASS,
ev2_ec4_n4_s3_gm,12,0.3,0.4,0.3,0.0,1.601e-05,3.539e-06,4.523876801356316,30,30,PASS,
ev2_ec4_n13_s1,13,0.3,1.1,1.0,3.63e-16,1.77e-05,2.623e-06,6.747998475028593,30,30,PASS,
ev2_ec4_n21_s2_gs,42,0.2,0.5,0.5,2.1e-16,0.0001229,4.045e-06,30.3831891223733,30,30,PASS,
ev2_ec4_n29_s3_gm,87,0.1,0.6,0.6,2.03e-16,0.0001659,7.944e-06,20.883685800604226,30,30,PASS,
ev2_ec4_n38_s1,38,0.1,3.7,3.7,2.14e-16,0.0001597,5.362e-06,29.783662812383444,30,30,PASS,
ev2_ec4_n46_s2_gs,92,0.2,0.4,0.4,2.13e-16,0.0003901,7.415e-06,52.60957518543493,30,30,PASS,
ev2_ec4_n54_s3_gm,162,0.0,3.3,3.3,2.3e-16,0.00119,1.366e-05,87.11566617862373,30,30,PASS,
ev2_ec4_n63_s1,63,0.1,1.0,1.0,2.16e-16,0.000159,6.571e-06,24.19723025414701,30,30,PASS,
ev2_ec4_n71_s2_gs,142,0.2,0.9,0.9,0.0,0.0008514,1.164e-05,73.14432989690721,30,30,PASS,
ev2_ec4_n79_s3_gm,237,0.0,0.7,0.7,2.2e-16,0.00194,1.745e-05,111.17478510028654,30,30,PASS,
