name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
ev1_ec1_n10_s1,10,0.2,0.0,0.0,2.02e-16,3.179e-06,2.406e-06,1.3212801330008312,30,30,PASS,
ev1_ec1_n18_s2_gs,36,0.1,0.0,0.0,2.14e-16,1.345e-05,7.26e-06,1.8526170798898072,30,30,PASS,
ev1_ec1_n26_s3_gm,78,0.0,0.0,0.0,9.45e-16,4.37e-05,8.282e-06,5.276503260082106,30,30,PASS,
ev1_ec1_n35_s1,35,0.0,0.0,0.1,2.07e-16,6.569e-06,6.093e-06,1.0781224355818153,30,30,PASS,
ev1_ec1_n43_s2_gs,86,0.1,0.0,0.0,7.24e-16,4.252e-05,1.093e-05,3.890210430009149,30,30,PASS,
ev1_ec1_n51_s3_gm,153,0.0,0.0,0.0,2.2e-16,0.0001451,1.404e-05,10.334757834757836,30,30,PASS,
ev1_ec1_n60_s1,60,0.0,0.0,0.0,2.11e-16,1.248e-05,6.305e-06,1.9793814432989694,30,30,PASS,
ev1_ec1_n68_s2_gs,136,0.1,0.0,0.0,2.8e-16,9.269e-05,1.379e-05,6.721537345902828,30,30,PASS,
ev1_ec1_n76_s3_gm,228,0.0,0.0,0.0,4.15e-16,0.0002835,1.972e-05,14.376267748478702,30,30,PASS,
ev1_ec1_n85_s1,85,0.0,0.0,0.0,1.74e-16,2.432e-05,8.275e-06,2.938972809667674,30,30,PASS,
ev1_ec1_n93_s2_gs,186,0.1,0.0,0.0,5.89e-16,0.0001963,1.666e-05,11.782713085234095,30,30,PASS,
ev1_ec4_n2_s3_gm,6,3.1,0.9,1.0,6.07e-16,1.107e-05,6.164e-06,1.7959117456197276,30,30,PASS,
ev1_ec4_n11_s1,11,0.0,0.1,0.1,1.23e-16,2.879e-06,4.11e-06,0.7004866180048662,30,30,PASS,
ev1_ec4_n19_s2_gs,38,0.1,0.0,0.0,2.38e-16,1.277e-05,7.484e-06,1.7063067878140032,30,30,PASS,
ev1_ec4_n27_s3_gm,81,0.0,0.0,0.0,2.1e-16,3.79e-05,1.018e-05,3.722986247544204,30,30,PASS,
ev1_ec4_n36_s1,36,0.0,0.0,0.0,1.4e-16,6.698e-06,4.744e-06,1.4118887015177066,30,30,PASS,
ev1_ec4_n44_s2_gs,88,0.1,0.0,0.0,7.15e-16,3.735e-05,1.162e-05,3.214285714285714,30,30,PASS,
ev1_ec4_n52_s3_gm,156,0.0,0.0,0.0,3.95e-16,9.953e-05,1.282e-05,7.763650546021841,30,30,PASS,
ev1_ec4_n61_s1,61,0.0,0.0,0.0,0.0,1.251e-05,5.4e-06,2.316666666666667,30,30,PASS,
ev1_ec4_n69_s2_gs,138,0.1,0.0,0.0,4.62e-16,8.265e-05,1.092e-05,7.568681318681318,30,30,PASS,
ev1_ec4_n77_s3_gm,231,0.0,0.0,0.0,4.33e-16,0.0002406,1.681e-05,14.312908982748363,30,30,PASS,
ev1_ec4_n86_s1,86,0.0,0.0,0.0,0.0,2.033e-05,7.803e-06,2.6054081763424324,30,30,PASS,
ev1_ec4_n94_s2_gs,188,0.1,0.0,0.0,3.32e-16,0.0001202,1.386e-05,8.672438672438672,30,30,PASS,
ev2_ec1_n3_s3_gm,9,0.3,0.1,0.2,2.04e-16,5.857e-06,3.835e-06,1.5272490221642765,30,30,PASS,
ev2_ec1_n12_s1,12,0.7,0.0,0.0,1.27e-16,4.211e-06,2.313e-06,1.8205793341980112,30,30,PASS,
ev2_ec1_n20_s2_gs,40,0.4,0.0,0.0,2.02e-16,9.125e-06,4.264e-06,2.1400093808630394,30,30,PASS,
ev2_ec1_n28_s3_gm,84,0.2,0.0,0.0,4.12e-16,3.598e-05,8.144e-06,4.417976424361493,30,30,PASS,
ev2_ec1_n37_s1,37,0.1,0.1,0.0,2.15e-16,1.29e-05,4.747e-06,2.717505793132505,30,30,PASS,
ev2_ec1_n45_s2_gs,90,0.5,0.0,0.0,2.11e-16,4.357e-05,7.328e-06,5.945687772925764,30,30,PASS,
ev2_ec1_n53_s3_gm,159,0.0,0.0,0.0,6.73e-16,0.0001144,1.39e-05,8.23021582733813,30,30,PASS,
ev2_ec1_n62_s1,62,0.1,0.0,0.0,2.09e-16,2.217e-05,6.021e-06,3.6821126058794222,30,30,PASS,
ev2_ec1_n70_s2_gs,140,0.1,0.0,0.0,6.75e-15,8.622e-05,1.015e-05,8.494581280788177,30,30,PASS,
ev2_ec1_n78_s3_gm,234,0.0,0.0,0.0,5.02e-16,0.000281,1.735e-05,16.195965417867434,30,30,PASS,
ev2_ec1_n87_s1,87,0.0,0.0,0.0,2.17e-16,4.108e-05,8.275e-06,4.964350453172206,30,30,PASS,
ev2_ec1_n95_s2_gs,190,0.0,0.0,0.0,1.03e-14,0.0001608,1.415e-05,11.363957597173146,30,30,PASS,
ev2_ec4_n4_s3_gm,12,0.4,0.1,0.1,1.29e-16,7.301e-06,3.82e-06,1.911256544502618,30,30,PASS,
ev2_ec4_n13_s1,13,2.0,0.1,0.1,2.12e-16,3.624e-06,2.906e-06,1.2470750172057812,30,30,PASS,
ev2_ec4_n21_s2_gs,42,1.1,0.0,0.0,2.1e-16,1.172e-05,4.07e-06,2.8796068796068797,30,30,PASS,
ev2_ec4_n29_s3_gm,87,0.1,0.0,0.0,2.03e-16,3.62e-05,8.103e-06,4.467481179809947,30,30,PASS,
