name,n,res,ortU,ortV,sv_drift,t_eval,t_dbdsqr,ratio,reps_eval,reps_ref,status,note
ev1_ec1_n10_s1,10,0.742,0.104,0.1,1.01e-15,0.002962,1.82e-06,1627.4725274725274,30,30,PASS,
ev1_ec1_n18_s2_gs,36,0.211,0.056,0.069,3.57e-15,0.003177,4.745e-06,669.5468914646997,30,30,PASS,
ev1_ec1_n26_s3_gm,78,0.096,0.013,0.019,5.04e-15,0.003907,8.092e-06,482.8225407810183,30,30,PASS,
ev1_ec1_n35_s1,35,0.215,0.029,0.014,1.45e-15,0.003172,3.806e-06,833.4209143457698,30,30,PASS,
ev1_ec1_n43_s2_gs,86,0.08,0.013,0.023,3.98e-15,0.004117,6.862e-06,599.9708539784319,30,30,PASS,
ev1_ec1_n51_s3_gm,153,0.046,0.007,0.007,5.87e-15,0.006481,1.275e-05,508.3137254901961,30,30,PASS,
ev1_ec1_n60_s1,60,0.131,0.017,0.008,1.27e-15,0.003436,5.472e-06,627.9239766081871,30,30,PASS,
ev1_ec1_n68_s2_gs,136,0.058,0.007,0.007,4.91e-15,0.005719,1.075e-05,532.0,30,30,PASS,
ev1_ec1_n76_s3_gm,228,0.035,0.004,0.007,6.44e-15,0.01051,1.642e-05,640.0730816077954,19,30,PASS,
ev1_ec1_n85_s1,85,0.091,0.012,0.006,1.48e-15,0.004006,6.131e-06,653.4007502854347,30,30,PASS,
ev1_ec1_n93_s2_gs,186,0.031,0.011,0.011,4.72e-15,0.008122,1.304e-05,622.8527607361964,25,30,PASS,
ev1_ec4_n2_s3_gm,6,0.781,0.211,0.167,7.36e-16,0.003033,3.823e-06,793.3560031388962,30,30,PASS,
ev1_ec4_n11_s1,11,0.624,0.045,0.091,1.21e-15,0.003056,2.07e-06,1476.3285024154588,30,30,PASS,
ev1_ec4_n19_s2_gs,38,0.184,0.053,0.026,3.92e-15,0.003311,4.503e-06,735.287586053742,30,30,PASS,
ev1_ec4_n27_s3_gm,81,0.086,0.012,0.025,2.76e-15,0.00405,8.092e-06,500.4943153732081,30,30,PASS,
ev1_ec4_n36_s1,36,0.208,0.028,0.028,1.65e-15,0.003219,3.898e-06,825.8081067213957,30,30,PASS,
ev1_ec4_n44_s2_gs,88,0.086,0.011,0.017,4.72e-15,0.004199,7.483e-06,561.1385807831083,30,30,PASS,
ev1_ec4_n52_s3_gm,156,0.05,0.01,0.006,3.36e-15,0.006438,1.132e-05,568.7279151943463,30,30,PASS,
ev1_ec4_n61_s1,61,0.111,0.016,0.025,1.47e-15,0.003662,5.194e-06,705.0442818636889,30,30,PASS,
ev1_ec4_n69_s2_gs,138,0.044,0.011,0.007,4.93e-15,0.005932,1.054e-05,562.80834914611,30,30,PASS,
ev1_ec4_n77_s3_gm,231,0.03,0.009,0.004,3.68e-15,0.01069,1.551e-05,689.2327530625404,19,30,PASS,
ev1_ec4_n86_s1,86,0.064,0.017,0.012,1.05e-15,0.004154,6.593e-06,630.0621871682087,30,30,PASS,
ev1_ec4_n94_s2_gs,188,0.037,0.01,0.012,5.32e-15,0.008161,1.322e-05,617.32223903177,24,30,PASS,
ev2_ec1_n3_s3_gm,9,1.072,0.222,0.111,1.02e-15,0.003119,2.79e-06,1117.921146953405,30,30,PASS,
ev2_ec1_n12_s1,12,0.29,0.182,0.194,1.27e-15,0.003031,2.124e-06,1427.0244821092278,30,30,PASS,
ev2_ec1_n20_s2_gs,40,0.21,0.025,0.05,1.21e-15,0.003381,3.863e-06,875.226507895418,30,30,PASS,
ev2_ec1_n28_s3_gm,84,0.105,0.028,0.024,1.51e-15,0.00427,6.79e-06,628.8659793814434,30,30,PASS,
ev2_ec1_n37_s1,37,0.195,0.027,0.041,1.5e-15,0.003382,4.553e-06,742.8069404788051,30,30,PASS,
ev2_ec1_n45_s2_gs,90,0.111,0.017,0.014,4.01e-15,0.004436,7.261e-06,610.9351329018042,30,30,PASS,
