method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions,backend_path
DBDSVR,1,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.2394340999999997E-002,0,1,1
DBDSVR,2,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.4422233600000000E-001,0,1,1
DBDSVR,3,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.0997828500000002E-001,0,1,1
DBDSVR,4,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7818496900000000E-001,0,1,1
DBDSVR,5,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.9392468400000002E-001,0,1,1
DBDSVR,6,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2962379199999999E-001,0,1,1
DBDSVR,7,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.0306627699999995E-001,0,1,1
DBDSVR,8,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.1926628399999997E-001,0,1,1
DBDSVR,9,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.1898468700000000E-001,0,1,1
DBDSVR,10,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4095592699999999E-001,0,1,1
DBDSVR,11,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.7429071999999999E-002,0,1,1
DBDSVR,12,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.2971049999999997E-002,0,1,1
DBDSVR,13,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.2352324500000001E-001,0,1,1
DBDSVR,14,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.4061351100000000E-001,0,1,1
DBDSVR,15,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0500236699999999E-001,0,1,1
DBDSVR,16,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.1365811100000001E-001,0,1,1
DBDSVR,17,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.5680580299999998E-001,0,1,1
DBDSVR,18,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.4229242000000002E-002,0,1,1
DBDSVR,19,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.3399724000000001E-002,0,1,1
DBDSVR,20,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.5956917500000005E-001,0,1,1
DBDSVR,21,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.3685479000000000E-001,0,1,1
DBDSVR,22,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6727179400000000E-001,0,1,3
DBDSVR,23,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.3009884299999998E-001,0,1,3
DBDSVR,24,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6582363600000000E-001,0,1,1
DBDSVR,25,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.6391802000000003E-002,0,1,1
DBDSVR,26,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.7772643000000002E-002,0,1,1
DBDSVR,27,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.4890109999999999E-002,0,1,1
DBDSVR,28,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.2410377000000003E-002,0,1,1
DBDSVR,29,2000,A,2000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.0979664599999999E-001,0,1,1
