point,n,type,variety,dbdsdc_seconds,dbdsvr_seconds,speedup_dbdsdc_over_dbdsvr,winner,dbdsdc_repetitions,dbdsvr_repetitions,dbdsvr_backend_path
1,500,1,110 ones spectrum,0.0008340039374999998,0.002724870515625,0.30607103446480843,DBDSDC,64,64,1
2,500,2,"111 uniform, ε apart",0.004397822046875002,0.025901404281250002,0.16979087307859136,DBDSDC,64,32,1
3,500,3,"112 uniform, ε¹ᐟ⁴ apart",0.08563486174999999,0.020130639406249998,4.253956370775424,DBDSVR,8,32,1
4,500,4,113 uniform ε → 1,0.094152361,0.009636714531250003,9.770172260959074,DBDSVR,8,64,1
5,500,5,"114 uniform ε → 1, signed",0.060742017499999995,0.020311963125,2.99045528618741,DBDSVR,16,32,1
6,500,6,115 geometric ε → 1,0.010238729578125001,0.023946099249999995,0.4275740057381163,DBDSDC,64,32,1
7,500,7,"116 geometric ε → 1, signed",0.005079012421874999,0.030125260249999997,0.16859646621227115,DBDSDC,64,32,1
8,500,8,117 random spectrum,0.010622296671874995,0.03047546528125,0.3485524035103199,DBDSDC,64,32,1
9,500,9,118 clustered at 1,0.008075110484374998,0.032540231812499994,0.2481577430334417,DBDSDC,64,16,1
10,500,10,119 clustered at ±1,0.0011757327968749997,0.0110019131875,0.10686621288839357,DBDSDC,64,64,1
11,500,11,120 clustered at ε,0.000253243984375,0.0010034026875,0.25238519642195,DBDSDC,64,64,1
12,500,12,121 clustered at ±ε,0.0004919565625000001,0.00122951228125,0.4001233415902491,DBDSDC,64,64,1
13,500,13,200 ABCON0,0.10630010100000001,0.0109443493125,9.712784009789436,DBDSVR,8,64,1
14,500,14,201 ABCON1,0.10954142950000001,0.011048327156249997,9.914752518713463,DBDSVR,8,64,1
15,500,15,202 ABCON2,0.11339437712499999,0.011224327640624998,10.102554091042723,DBDSVR,8,64,1
16,500,16,203 ABCON3,0.10907054725,0.011022839812499999,9.89495893121054,DBDSVR,8,64,1
17,500,17,210 random bidiagonal,0.010383319374999998,0.020667423625,0.5024002780123978,DBDSDC,64,32,1
18,500,18,220 GRADP,0.000456783859375,0.001784078796875,0.2560334555710793,DBDSDC,64,64,1
19,500,19,221 GRADM,0.0007295434062499999,0.001780660124999999,0.40970390475273905,DBDSDC,64,64,1
20,500,20,222 Wilkinson+,0.0042696604062499996,0.05134468531250001,0.08315681321763868,DBDSDC,64,16,1
21,500,21,223 Wilkinson−,0.0039484517343750004,0.007659880453125001,0.5154717176772845,DBDSDC,64,64,1
22,500,22,224 Wilkinson W,0.0034091199687500007,0.008354878609374998,0.40803943757179567,DBDSDC,64,64,3
23,500,23,225 double Wilkinson W,0.0031447528125000007,0.016958952124999996,0.18543320302580318,DBDSDC,64,32,3
24,500,24,230 Clement,0.10508260075,0.008995836046874999,11.681248991471328,DBDSVR,8,64,1
25,500,25,240 GRO0,0.01756998028125,0.001636058171875,10.739214890576887,DBDSVR,32,64,1
26,500,26,241 GRO1,0.018385601499999994,0.0016412775937500001,11.20200602872575,DBDSVR,32,64,1
27,500,27,242 GRO2,0.01749984034375,0.0016771045468749997,10.43455542253343,DBDSVR,32,64,1
28,500,28,243 GRO3,0.0174004035625,0.0016886309531250004,10.304444277951086,DBDSVR,32,64,1
29,500,29,244 bidiagonal Wilkinson+,0.0034643407031250003,0.049761173312500004,0.06961935325296596,DBDSDC,64,16,1
30,1000,1,110 ones spectrum,0.0036906504374999995,0.013027862390624997,0.28328902523224647,DBDSDC,64,64,1
31,1000,2,"111 uniform, ε apart",0.023896661343749993,0.107760309125,0.22175754262202702,DBDSDC,32,8,1
32,1000,3,"112 uniform, ε¹ᐟ⁴ apart",0.42212524949999997,0.080283853875,5.257909643416454,DBDSVR,2,8,1
33,1000,4,113 uniform ε → 1,0.4153793735,0.042467425625,9.781129121598362,DBDSVR,2,16,1
34,1000,5,"114 uniform ε → 1, signed",0.21479071900000002,0.0835451735,2.570953054517267,DBDSVR,4,8,1
35,1000,6,115 geometric ε → 1,0.0330692561875,0.08236197075000001,0.4015112300782336,DBDSDC,16,8,1
36,1000,7,"116 geometric ε → 1, signed",0.01729833853125,0.120599687,0.14343601514695473,DBDSDC,32,8,1
37,1000,8,117 random spectrum,0.027364755875,0.12015741675,0.22774088038140186,DBDSDC,32,8,1
38,1000,9,118 clustered at 1,0.021366490218750003,0.12581550675,0.16982398092793122,DBDSDC,32,4,1
39,1000,10,119 clustered at ±1,0.006167560265624999,0.05246915037500001,0.11754641006277201,DBDSDC,64,16,1
40,1000,11,120 clustered at ε,0.0010688129843749998,0.0061396212499999995,0.17408451447636122,DBDSDC,64,64,1
41,1000,12,121 clustered at ±ε,0.00242221421875,0.007482128015624999,0.3237333301023007,DBDSDC,64,64,1
