method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSDC,1,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.3400393749999977E-004,0,64
DBDSDC,2,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.3978220468750022E-003,0,64
DBDSDC,3,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.5634861749999985E-002,0,8
DBDSDC,4,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.4152361000000004E-002,0,8
DBDSDC,5,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 6.0742017499999995E-002,0,16
DBDSDC,6,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0238729578125001E-002,0,64
DBDSDC,7,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.0790124218749993E-003,0,64
DBDSDC,8,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0622296671874995E-002,0,64
DBDSDC,9,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.0751104843749984E-003,0,64
DBDSDC,10,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1757327968749997E-003,0,64
DBDSDC,11,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.5324398437500003E-004,0,64
DBDSDC,12,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.9195656250000013E-004,0,64
DBDSDC,13,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0630010100000001E-001,0,8
DBDSDC,14,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0954142950000001E-001,0,8
DBDSDC,15,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1339437712499999E-001,0,8
DBDSDC,16,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0907054725000000E-001,0,8
DBDSDC,17,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0383319374999998E-002,0,64
DBDSDC,18,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.5678385937499998E-004,0,64
DBDSDC,19,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.2954340624999993E-004,0,64
DBDSDC,20,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.2696604062499996E-003,0,64
DBDSDC,21,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.9484517343750004E-003,0,64
DBDSDC,22,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.4091199687500007E-003,0,64
DBDSDC,23,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.1447528125000007E-003,0,64
DBDSDC,24,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0508260075000000E-001,0,8
DBDSDC,25,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7569980281250001E-002,0,32
DBDSDC,26,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.8385601499999994E-002,0,32
DBDSDC,27,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7499840343750000E-002,0,32
DBDSDC,28,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7400403562500000E-002,0,32
DBDSDC,29,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.4643407031250003E-003,0,64
