method,type,n,range,ns,residual,u_orthogonality,vt_orthogonality,orthogonality,time_seconds,info,repetitions
DBDSVR,1,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.7248705156250001E-003,0,64
DBDSVR,2,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.5901404281250002E-002,0,32
DBDSVR,3,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0130639406249998E-002,0,32
DBDSVR,4,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 9.6367145312500034E-003,0,64
DBDSVR,5,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0311963124999999E-002,0,32
DBDSVR,6,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.3946099249999995E-002,0,32
DBDSVR,7,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.0125260249999997E-002,0,32
DBDSVR,8,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.0475465281249999E-002,0,32
DBDSVR,9,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 3.2540231812499994E-002,0,16
DBDSVR,10,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1001913187500000E-002,0,64
DBDSVR,11,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0034026875000001E-003,0,64
DBDSVR,12,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.2295122812499999E-003,0,64
DBDSVR,13,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.0944349312500001E-002,0,64
DBDSVR,14,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1048327156249997E-002,0,64
DBDSVR,15,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1224327640624998E-002,0,64
DBDSVR,16,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.1022839812499999E-002,0,64
DBDSVR,17,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 2.0667423625000000E-002,0,32
DBDSVR,18,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7840787968749999E-003,0,64
DBDSVR,19,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.7806601249999989E-003,0,64
DBDSVR,20,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 5.1344685312500013E-002,0,16
DBDSVR,21,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 7.6598804531250010E-003,0,64
DBDSVR,22,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.3548786093749980E-003,0,64
DBDSVR,23,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6958952124999996E-002,0,32
DBDSVR,24,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 8.9958360468749988E-003,0,64
DBDSVR,25,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6360581718750000E-003,0,64
DBDSVR,26,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6412775937500001E-003,0,64
DBDSVR,27,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6771045468749997E-003,0,64
DBDSVR,28,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 1.6886309531250004E-003,0,64
DBDSVR,29,500,A,500,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000,-1.0000000000000000E+000, 4.9761173312500004E-002,0,16
